PeriodNumber,PeriodStartTime,PeriodEndTime,RecipeName,EquipmentGroup,CompletedLots,TotalProcTime,CompletedLots_CI,TotalProcTime_CI
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_LOT_1,EG_LOT_3,14,420,0,0
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_LOT_121,EG_LOT_4,13,169,0,0
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_LOT_232,EG_LOT_28,13,247,0,0
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_WAFER_264,EG_WAFER_26,4,576,4.303,619.632
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_WAFER_97,EG_WAFER_65,4,356,2.48433820832296,221.106100540743
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_WAFER_713,EG_WAFER_87,0.666666666666667,34.6666666666667,1.43433333333333,74.5853333333333
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_WAFER_8,EG_WAFER_88,6.33333333333333,424.333333333333,5.17156237944052,346.494679422515
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_WAFER_30,EG_WAFER_87,4.66666666666667,290.326666666667,5.17156237944052,254.230476731695
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_LOT_90,EG_LOT_7,5,91.8366666666667,4.303,79.0317666666667
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_WAFER_166,EG_WAFER_26,4.66666666666667,9.33333333333333,2.86866666666667,5.73733333333333
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_BATCH_8,EG_BATCH_19,3.33333333333333,146.666666666667,1.43433333333333,63.1106666666667
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_BATCH_214,EG_BATCH_20,1.33333333333333,77.3333333333333,1.43433333333333,83.1913333333333
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_WAFER_200,EG_WAFER_26,1.33333333333333,2.66666666666667,1.43433333333333,2.86866666666667
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_WAFER_166_1,EG_WAFER_26,1.33333333333333,2.66666666666667,1.43433333333333,2.86866666666667
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_BATCH_242,EG_BATCH_21,0.666666666666667,40.6666666666667,1.43433333333333,87.4943333333333
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_WAFER_200_1,EG_WAFER_26,0.666666666666667,1.33333333333333,1.43433333333333,2.86866666666667
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_WAFER_8_1,EG_WAFER_88,0,0,0,0
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_LOT_1_1,EG_LOT_3,6,180,0,0
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_WAFER_40,EG_WAFER_26,6,59,0,30.121
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_LOT_121_1,EG_LOT_4,6,78,0,0
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_LOT_232_1,EG_LOT_28,6,114,0,0
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_WAFER_190,EG_WAFER_87,3,255,0,0
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_WAFER_224,EG_WAFER_87,2,166,0,0
0,18/11/2021 00:00:01,18/11/2021 08:00:00,REC_WAFER_575,EG_WAFER_88,2,134,0,0
