FAB,EQPT_ID,RECIPE,MIN_BATCH_SIZE,MAX_BATCH_SIZE,MAX_WAIT_MAX_BATCH_IN_MINS,MAX_WAIT_MIN_BATCH_IN_MINS
SIMTECH,EQ_BATCH_1,REC_BATCH_292,25,50,9,12
SIMTECH,EQ_BATCH_2,REC_BATCH_9,25,50,9,12
SIMTECH,EQ_BATCH_2,REC_BATCH_175,25,50,9,12
SIMTECH,EQ_BATCH_2,REC_BATCH_215,25,50,9,12
SIMTECH,EQ_BATCH_2,REC_BATCH_243,25,50,9,12
SIMTECH,EQ_BATCH_2,REC_BATCH_270,25,50,10,13
SIMTECH,EQ_BATCH_3,REC_BATCH_9,25,50,9,12
SIMTECH,EQ_BATCH_3,REC_BATCH_175,25,50,9,12
SIMTECH,EQ_BATCH_3,REC_BATCH_215,25,50,9,12
SIMTECH,EQ_BATCH_3,REC_BATCH_243,25,50,9,12
SIMTECH,EQ_BATCH_3,REC_BATCH_270,25,50,10,13
SIMTECH,EQ_BATCH_4,REC_BATCH_4,50,100,113,150
SIMTECH,EQ_BATCH_4,REC_BATCH_170,50,100,116,154
SIMTECH,EQ_BATCH_184,REC_BATCH_288,50,100,120,160
SIMTECH,EQ_BATCH_185,REC_BATCH_257,25,75,71,95
SIMTECH,EQ_BATCH_185,REC_BATCH_272,50,100,115,154
SIMTECH,EQ_BATCH_185,REC_BATCH_280,50,100,103,137
SIMTECH,EQ_BATCH_185,REC_BATCH_282,25,75,137,182
SIMTECH,EQ_BATCH_185,REC_BATCH_284,25,75,37,49
SIMTECH,EQ_BATCH_186,REC_BATCH_347,50,100,123,164
SIMTECH,EQ_BATCH_186,REC_BATCH_355,50,100,74,99
SIMTECH,EQ_BATCH_187,REC_BATCH_147,50,100,122,163
SIMTECH,EQ_BATCH_187,REC_BATCH_229,50,100,37,49
SIMTECH,EQ_BATCH_187,REC_BATCH_231,50,100,111,148
SIMTECH,EQ_BATCH_187,REC_BATCH_251,50,100,211,281
SIMTECH,EQ_BATCH_187,REC_BATCH_253,50,100,83,110
SIMTECH,EQ_BATCH_188,REC_BATCH_367,50,100,163,218
SIMTECH,EQ_BATCH_188,REC_BATCH_202,50,100,68,91
SIMTECH,EQ_BATCH_189,REC_BATCH_91,50,100,110,147
SIMTECH,EQ_BATCH_189,REC_BATCH_184,50,100,378,504
SIMTECH,EQ_BATCH_190,REC_BATCH_184,50,100,378,504
SIMTECH,EQ_BATCH_191,REC_BATCH_376,50,100,72,96
SIMTECH,EQ_BATCH_191,REC_BATCH_378,50,100,59,79
SIMTECH,EQ_BATCH_191,REC_BATCH_380,50,100,70,93
SIMTECH,EQ_BATCH_191,REC_BATCH_382,50,100,78,103
SIMTECH,EQ_BATCH_192,REC_BATCH_313,25,50,74,99
SIMTECH,EQ_BATCH_298,REC_BATCH_5,25,50,16,22
SIMTECH,EQ_BATCH_298,REC_BATCH_212,25,50,17,22
SIMTECH,EQ_BATCH_298,REC_BATCH_267,25,50,24,32
SIMTECH,EQ_BATCH_298,REC_BATCH_294,25,50,23,31
SIMTECH,EQ_BATCH_298,REC_BATCH_14,25,50,25,34
SIMTECH,EQ_BATCH_298,REC_BATCH_149,25,50,19,25
SIMTECH,EQ_BATCH_298,REC_BATCH_204,25,50,21,28
SIMTECH,EQ_BATCH_298,REC_BATCH_222,25,50,21,28
SIMTECH,EQ_BATCH_298,REC_BATCH_264,25,50,16,22
SIMTECH,EQ_BATCH_299,REC_BATCH_47,25,50,19,25
SIMTECH,EQ_BATCH_299,REC_BATCH_49,25,50,21,28
SIMTECH,EQ_BATCH_299,REC_BATCH_51,25,50,32,43
SIMTECH,EQ_BATCH_299,REC_BATCH_53,25,50,14,19
SIMTECH,EQ_BATCH_299,REC_BATCH_55,25,50,5,7
SIMTECH,EQ_BATCH_299,REC_BATCH_57,25,50,17,23
SIMTECH,EQ_BATCH_299,REC_BATCH_59,25,50,17,23
SIMTECH,EQ_BATCH_299,REC_BATCH_65,25,50,23,30
SIMTECH,EQ_BATCH_299,REC_BATCH_67,25,50,14,18
SIMTECH,EQ_BATCH_299,REC_BATCH_69,25,50,23,30
SIMTECH,EQ_BATCH_300,REC_BATCH_47,25,50,19,25
SIMTECH,EQ_BATCH_300,REC_BATCH_49,25,50,21,28
SIMTECH,EQ_BATCH_300,REC_BATCH_51,25,50,32,43
SIMTECH,EQ_BATCH_300,REC_BATCH_53,25,50,14,19
SIMTECH,EQ_BATCH_300,REC_BATCH_55,25,50,5,7
SIMTECH,EQ_BATCH_300,REC_BATCH_57,25,50,17,23
SIMTECH,EQ_BATCH_300,REC_BATCH_59,25,50,17,23
SIMTECH,EQ_BATCH_300,REC_BATCH_65,25,50,23,30
SIMTECH,EQ_BATCH_300,REC_BATCH_67,25,50,14,18
SIMTECH,EQ_BATCH_300,REC_BATCH_69,25,50,23,30
SIMTECH,EQ_BATCH_354,REC_BATCH_208,50,100,8,11
SIMTECH,EQ_BATCH_374,REC_WAFER_777,25,50,15,20
SIMTECH,EQ_BATCH_374,REC_WAFER_824,25,50,15,20
SIMTECH,EQ_BATCH_374,REC_WAFER_869,25,50,14,18
SIMTECH,EQ_BATCH_374,REC_WAFER_36,25,50,14,19
SIMTECH,EQ_BATCH_374,REC_WAFER_383,25,50,22,29
SIMTECH,EQ_BATCH_375,REC_WAFER_824,25,50,15,20
SIMTECH,EQ_BATCH_375,REC_WAFER_869,25,50,14,18
SIMTECH,EQ_BATCH_375,REC_WAFER_36,25,50,14,19
SIMTECH,EQ_BATCH_375,REC_WAFER_80,25,50,13,18
