FAB,EQPT_ID,CHAMBER,ORDER_NUMBER
SIMTECH,EQ_WAFER_132,A,1
SIMTECH,EQ_WAFER_132,B,2
SIMTECH,EQ_WAFER_519,A,1
SIMTECH,EQ_WAFER_519,B,2
SIMTECH,EQ_WAFER_519,C,3
SIMTECH,EQ_WAFER_519,D,4
SIMTECH,EQ_WAFER_520,A,1
SIMTECH,EQ_WAFER_520,B,2
SIMTECH,EQ_WAFER_520,C,3
SIMTECH,EQ_WAFER_520,D,4
SIMTECH,EQ_WAFER_117,E,1
SIMTECH,EQ_WAFER_117,1,2
SIMTECH,EQ_WAFER_117,2,3
SIMTECH,EQ_WAFER_117,3,4
SIMTECH,EQ_WAFER_117,4,5
SIMTECH,EQ_WAFER_117,5,6
SIMTECH,EQ_WAFER_117,T,7
SIMTECH,EQ_WAFER_118,E,1
SIMTECH,EQ_WAFER_118,1,2
SIMTECH,EQ_WAFER_118,2,3
SIMTECH,EQ_WAFER_118,3,4
SIMTECH,EQ_WAFER_118,4,5
SIMTECH,EQ_WAFER_118,5,6
SIMTECH,EQ_WAFER_118,T,7
SIMTECH,EQ_WAFER_366,A,1
SIMTECH,EQ_WAFER_366,B,2
SIMTECH,EQ_WAFER_366,C,3
SIMTECH,EQ_WAFER_366,D,4
SIMTECH,EQ_WAFER_366,S,5
SIMTECH,EQ_WAFER_367,A,1
SIMTECH,EQ_WAFER_367,B,2
SIMTECH,EQ_WAFER_367,C,3
SIMTECH,EQ_WAFER_367,D,4
SIMTECH,EQ_WAFER_367,S,5
SIMTECH,EQ_WAFER_490,A,1
SIMTECH,EQ_WAFER_490,B,2
SIMTECH,EQ_WAFER_490,C,3
SIMTECH,EQ_WAFER_491,A,1
SIMTECH,EQ_WAFER_491,B,2
SIMTECH,EQ_WAFER_491,C,3
SIMTECH,EQ_WAFER_207,A,1
SIMTECH,EQ_WAFER_207,B,2
SIMTECH,EQ_WAFER_207,C,3
SIMTECH,EQ_WAFER_208,A,1
SIMTECH,EQ_WAFER_208,B,2
SIMTECH,EQ_WAFER_208,C,3
SIMTECH,EQ_WAFER_103,A,1
SIMTECH,EQ_WAFER_103,B,2
SIMTECH,EQ_WAFER_103,C,3
SIMTECH,EQ_WAFER_104,A,1
SIMTECH,EQ_WAFER_104,B,2
SIMTECH,EQ_WAFER_104,C,3
SIMTECH,EQ_WAFER_105,A,1
SIMTECH,EQ_WAFER_105,B,2
SIMTECH,EQ_WAFER_105,C,3
SIMTECH,EQ_WAFER_106,A,1
SIMTECH,EQ_WAFER_106,B,2
SIMTECH,EQ_WAFER_106,C,3
SIMTECH,EQ_WAFER_107,A,1
SIMTECH,EQ_WAFER_107,B,2
SIMTECH,EQ_WAFER_107,C,3
SIMTECH,EQ_WAFER_108,A,1
SIMTECH,EQ_WAFER_108,B,2
SIMTECH,EQ_WAFER_108,C,3
SIMTECH,EQ_WAFER_109,A,1
SIMTECH,EQ_WAFER_109,B,2
SIMTECH,EQ_WAFER_109,C,3
SIMTECH,EQ_WAFER_110,A,1
SIMTECH,EQ_WAFER_110,B,2
SIMTECH,EQ_WAFER_110,C,3
SIMTECH,EQ_WAFER_111,A,1
SIMTECH,EQ_WAFER_111,B,2
SIMTECH,EQ_WAFER_111,C,3
SIMTECH,EQ_WAFER_112,A,1
SIMTECH,EQ_WAFER_112,B,2
SIMTECH,EQ_WAFER_112,C,3
SIMTECH,EQ_WAFER_373,1,1
SIMTECH,EQ_WAFER_373,2,2
SIMTECH,EQ_WAFER_373,3,3
SIMTECH,EQ_WAFER_373,4,4
SIMTECH,EQ_WAFER_373,5,5
SIMTECH,EQ_WAFER_374,1,1
SIMTECH,EQ_WAFER_374,2,2
SIMTECH,EQ_WAFER_374,3,3
SIMTECH,EQ_WAFER_374,4,4
SIMTECH,EQ_WAFER_374,5,5
SIMTECH,EQ_WAFER_375,1,1
SIMTECH,EQ_WAFER_375,2,2
SIMTECH,EQ_WAFER_375,3,3
SIMTECH,EQ_WAFER_375,4,4
SIMTECH,EQ_WAFER_375,5,5
SIMTECH,EQ_WAFER_241,L,1
SIMTECH,EQ_WAFER_241,R,2
SIMTECH,EQ_WAFER_242,L,1
SIMTECH,EQ_WAFER_242,R,2
SIMTECH,EQ_WAFER_243,L,1
SIMTECH,EQ_WAFER_243,R,2
SIMTECH,EQ_WAFER_244,L,1
SIMTECH,EQ_WAFER_244,R,2
SIMTECH,EQ_WAFER_245,L,1
SIMTECH,EQ_WAFER_245,R,2
SIMTECH,EQ_WAFER_672,1,1
SIMTECH,EQ_WAFER_672,2,2
SIMTECH,EQ_WAFER_673,1,1
SIMTECH,EQ_WAFER_673,2,2
SIMTECH,EQ_WAFER_42,1,1
SIMTECH,EQ_WAFER_42,2,2
SIMTECH,EQ_WAFER_42,3,3
SIMTECH,EQ_WAFER_42,4,4
SIMTECH,EQ_LOT_76,A,1
SIMTECH,EQ_LOT_76,B,2
SIMTECH,EQ_LOT_76,C,3
SIMTECH,EQ_LOT_76,D,4
SIMTECH,EQ_LOT_76,E,5
SIMTECH,EQ_LOT_76,F,6
SIMTECH,EQ_LOT_77,A,1
SIMTECH,EQ_LOT_77,B,2
SIMTECH,EQ_LOT_77,C,3
SIMTECH,EQ_LOT_77,D,4
SIMTECH,EQ_LOT_77,E,5
SIMTECH,EQ_LOT_77,F,6
SIMTECH,EQ_WAFER_247,A,1
SIMTECH,EQ_WAFER_247,B,2
SIMTECH,EQ_WAFER_247,C,3
SIMTECH,EQ_WAFER_246,A,1
SIMTECH,EQ_WAFER_246,B,2
SIMTECH,EQ_WAFER_246,C,3
SIMTECH,EQ_WAFER_446,2,1
SIMTECH,EQ_WAFER_446,3,2
SIMTECH,EQ_WAFER_446,4,3
SIMTECH,EQ_WAFER_446,5,4
SIMTECH,EQ_WAFER_447,2,1
SIMTECH,EQ_WAFER_447,3,2
SIMTECH,EQ_WAFER_447,4,3
SIMTECH,EQ_WAFER_447,5,4
SIMTECH,EQ_WAFER_448,2,1
SIMTECH,EQ_WAFER_448,3,2
SIMTECH,EQ_WAFER_448,4,3
SIMTECH,EQ_WAFER_448,5,4
SIMTECH,EQ_WAFER_449,2,1
SIMTECH,EQ_WAFER_449,3,2
SIMTECH,EQ_WAFER_449,4,3
SIMTECH,EQ_WAFER_449,5,4
SIMTECH,EQ_WAFER_450,2,1
SIMTECH,EQ_WAFER_450,3,2
SIMTECH,EQ_WAFER_450,4,3
SIMTECH,EQ_WAFER_450,5,4
SIMTECH,EQ_WAFER_298,1,1
SIMTECH,EQ_WAFER_298,3,2
SIMTECH,EQ_WAFER_287,A,1
SIMTECH,EQ_WAFER_287,B,2
SIMTECH,EQ_WAFER_287,C,3
SIMTECH,EQ_WAFER_287,D,4
SIMTECH,EQ_WAFER_287,E,5
SIMTECH,EQ_WAFER_287,F,6
SIMTECH,EQ_WAFER_133,1,1
SIMTECH,EQ_WAFER_133,1,2
SIMTECH,EQ_WAFER_133,C,3
SIMTECH,EQ_WAFER_133,1,4
SIMTECH,EQ_WAFER_133,2,5
SIMTECH,EQ_WAFER_57,A,1
SIMTECH,EQ_WAFER_57,B,2
SIMTECH,EQ_WAFER_57,C,3
SIMTECH,EQ_WAFER_517,A,1
SIMTECH,EQ_WAFER_517,B,2
SIMTECH,EQ_WAFER_517,C,3
SIMTECH,EQ_WAFER_517,D,4
SIMTECH,EQ_WAFER_518,A,1
SIMTECH,EQ_WAFER_518,B,2
SIMTECH,EQ_WAFER_518,C,3
SIMTECH,EQ_WAFER_518,D,4
SIMTECH,EQ_WAFER_412,1,1
SIMTECH,EQ_WAFER_619,A,1
SIMTECH,EQ_WAFER_619,B,2
SIMTECH,EQ_WAFER_619,C,3
SIMTECH,EQ_WAFER_619,D,4
SIMTECH,EQ_WAFER_619,S,5
SIMTECH,EQ_WAFER_619,T,6
SIMTECH,EQ_WAFER_620,A,1
SIMTECH,EQ_WAFER_620,B,2
SIMTECH,EQ_WAFER_620,S,3
SIMTECH,EQ_WAFER_620,T,4
SIMTECH,EQ_WAFER_414,1,1
SIMTECH,EQ_WAFER_414,2,2
SIMTECH,EQ_WAFER_445,1,1
SIMTECH,EQ_WAFER_445,2,2
SIMTECH,EQ_WAFER_445,3,3
SIMTECH,EQ_WAFER_445,4,4
SIMTECH,EQ_WAFER_85,A,1
SIMTECH,EQ_WAFER_85,B,2
SIMTECH,EQ_WAFER_85,C,3
SIMTECH,EQ_WAFER_69,A,1
SIMTECH,EQ_WAFER_69,B,2
SIMTECH,EQ_WAFER_69,C,3
SIMTECH,EQ_WAFER_70,A,1
SIMTECH,EQ_WAFER_70,B,2
SIMTECH,EQ_WAFER_70,C,3
SIMTECH,EQ_WAFER_71,A,1
SIMTECH,EQ_WAFER_71,B,2
SIMTECH,EQ_WAFER_71,C,3
SIMTECH,EQ_WAFER_72,A,1
SIMTECH,EQ_WAFER_72,B,2
SIMTECH,EQ_WAFER_72,C,3
SIMTECH,EQ_WAFER_73,A,1
SIMTECH,EQ_WAFER_73,B,2
SIMTECH,EQ_WAFER_73,C,3
SIMTECH,EQ_WAFER_74,A,1
SIMTECH,EQ_WAFER_74,B,2
SIMTECH,EQ_WAFER_74,C,3
SIMTECH,EQ_WAFER_75,A,1
SIMTECH,EQ_WAFER_75,B,2
SIMTECH,EQ_WAFER_75,C,3
SIMTECH,EQ_WAFER_86,A,1
SIMTECH,EQ_WAFER_86,B,2
SIMTECH,EQ_WAFER_76,A,1
SIMTECH,EQ_WAFER_76,B,2
SIMTECH,EQ_WAFER_76,C,3
SIMTECH,EQ_WAFER_77,A,1
SIMTECH,EQ_WAFER_77,B,2
SIMTECH,EQ_WAFER_77,C,3
SIMTECH,EQ_WAFER_78,A,1
SIMTECH,EQ_WAFER_78,B,2
SIMTECH,EQ_WAFER_78,C,3
SIMTECH,EQ_WAFER_79,A,1
SIMTECH,EQ_WAFER_79,B,2
SIMTECH,EQ_WAFER_79,C,3
SIMTECH,EQ_WAFER_80,A,1
SIMTECH,EQ_WAFER_80,B,2
SIMTECH,EQ_WAFER_80,C,3
SIMTECH,EQ_WAFER_81,A,1
SIMTECH,EQ_WAFER_81,B,2
SIMTECH,EQ_WAFER_81,C,3
SIMTECH,EQ_WAFER_82,A,1
SIMTECH,EQ_WAFER_82,B,2
SIMTECH,EQ_WAFER_82,C,3
SIMTECH,EQ_WAFER_83,A,1
SIMTECH,EQ_WAFER_83,B,2
SIMTECH,EQ_WAFER_83,C,3
SIMTECH,EQ_WAFER_84,A,1
SIMTECH,EQ_WAFER_84,B,2
SIMTECH,EQ_WAFER_84,C,3
SIMTECH,EQ_WAFER_87,A,1
SIMTECH,EQ_WAFER_87,B,2
SIMTECH,EQ_WAFER_87,C,3
SIMTECH,EQ_WAFER_44,A,1
SIMTECH,EQ_WAFER_44,B,2
SIMTECH,EQ_WAFER_44,C,3
SIMTECH,EQ_WAFER_45,A,1
SIMTECH,EQ_WAFER_45,B,2
SIMTECH,EQ_WAFER_45,C,3
SIMTECH,EQ_WAFER_46,A,1
SIMTECH,EQ_WAFER_46,B,2
SIMTECH,EQ_WAFER_46,C,3
SIMTECH,EQ_WAFER_47,A,1
SIMTECH,EQ_WAFER_47,B,2
SIMTECH,EQ_WAFER_47,C,3
SIMTECH,EQ_WAFER_48,A,1
SIMTECH,EQ_WAFER_48,B,2
SIMTECH,EQ_WAFER_48,C,3
SIMTECH,EQ_WAFER_49,A,1
SIMTECH,EQ_WAFER_49,B,2
SIMTECH,EQ_WAFER_49,C,3
SIMTECH,EQ_WAFER_50,A,1
SIMTECH,EQ_WAFER_50,B,2
SIMTECH,EQ_WAFER_50,C,3
SIMTECH,EQ_WAFER_51,A,1
SIMTECH,EQ_WAFER_51,B,2
SIMTECH,EQ_WAFER_51,C,3
SIMTECH,EQ_WAFER_52,A,1
SIMTECH,EQ_WAFER_52,B,2
SIMTECH,EQ_WAFER_52,C,3
SIMTECH,EQ_WAFER_53,A,1
SIMTECH,EQ_WAFER_53,B,2
SIMTECH,EQ_WAFER_53,C,3
SIMTECH,EQ_WAFER_54,A,1
SIMTECH,EQ_WAFER_54,B,2
SIMTECH,EQ_WAFER_54,C,3
SIMTECH,EQ_WAFER_54,D,4
SIMTECH,EQ_WAFER_55,A,1
SIMTECH,EQ_WAFER_55,B,2
SIMTECH,EQ_WAFER_55,C,3
SIMTECH,EQ_WAFER_55,D,4
SIMTECH,EQ_WAFER_56,A,1
SIMTECH,EQ_WAFER_56,B,2
SIMTECH,EQ_WAFER_56,C,3
SIMTECH,EQ_WAFER_56,D,4
SIMTECH,EQ_WAFER_271,1,1
SIMTECH,EQ_WAFER_271,2,2
SIMTECH,EQ_WAFER_272,1,1
SIMTECH,EQ_WAFER_272,2,2
SIMTECH,EQ_WAFER_273,1,1
SIMTECH,EQ_WAFER_273,2,2
SIMTECH,EQ_WAFER_274,1,1
SIMTECH,EQ_WAFER_274,2,2
SIMTECH,EQ_WAFER_299,1,1
SIMTECH,EQ_WAFER_299,2,2
SIMTECH,EQ_WAFER_299,3,3
SIMTECH,EQ_WAFER_300,1,1
SIMTECH,EQ_WAFER_300,2,2
SIMTECH,EQ_WAFER_300,3,3
SIMTECH,EQ_WAFER_300,4,4
SIMTECH,EQ_WAFER_301,2,1
SIMTECH,EQ_WAFER_301,3,2
SIMTECH,EQ_WAFER_301,4,3
SIMTECH,EQ_WAFER_302,1,1
SIMTECH,EQ_WAFER_302,2,2
SIMTECH,EQ_WAFER_302,3,3
SIMTECH,EQ_WAFER_302,4,4
SIMTECH,EQ_WAFER_303,1,1
SIMTECH,EQ_WAFER_303,2,2
SIMTECH,EQ_WAFER_303,3,3
SIMTECH,EQ_WAFER_304,1,1
SIMTECH,EQ_WAFER_304,3,2
SIMTECH,EQ_WAFER_304,4,3
SIMTECH,EQ_WAFER_305,1,1
SIMTECH,EQ_WAFER_305,2,2
SIMTECH,EQ_WAFER_305,3,3
SIMTECH,EQ_WAFER_305,4,4
SIMTECH,EQ_WAFER_651,1,1
SIMTECH,EQ_WAFER_651,2,2
SIMTECH,EQ_WAFER_651,3,3
SIMTECH,EQ_WAFER_651,4,4
SIMTECH,EQ_WAFER_652,1,1
SIMTECH,EQ_WAFER_652,2,2
SIMTECH,EQ_WAFER_652,3,3
SIMTECH,EQ_WAFER_652,4,4
SIMTECH,EQ_WAFER_653,1,1
SIMTECH,EQ_WAFER_653,2,2
SIMTECH,EQ_WAFER_653,3,3
SIMTECH,EQ_WAFER_653,4,4
SIMTECH,EQ_WAFER_28,1,1
SIMTECH,EQ_WAFER_28,3,2
SIMTECH,EQ_WAFER_28,4,3
SIMTECH,EQ_WAFER_29,1,1
SIMTECH,EQ_WAFER_29,3,2
SIMTECH,EQ_WAFER_29,4,3
SIMTECH,EQ_WAFER_30,1,1
SIMTECH,EQ_WAFER_30,3,2
SIMTECH,EQ_WAFER_30,4,3
SIMTECH,EQ_WAFER_31,1,1
SIMTECH,EQ_WAFER_31,3,2
SIMTECH,EQ_WAFER_31,4,3
SIMTECH,EQ_WAFER_32,1,1
SIMTECH,EQ_WAFER_32,3,2
SIMTECH,EQ_WAFER_32,4,3
SIMTECH,EQ_WAFER_33,1,1
SIMTECH,EQ_WAFER_33,3,2
SIMTECH,EQ_WAFER_33,4,3
SIMTECH,EQ_WAFER_34,1,1
SIMTECH,EQ_WAFER_34,3,2
SIMTECH,EQ_WAFER_34,4,3
SIMTECH,EQ_WAFER_35,1,1
SIMTECH,EQ_WAFER_35,3,2
SIMTECH,EQ_WAFER_35,4,3
SIMTECH,EQ_WAFER_36,1,1
SIMTECH,EQ_WAFER_36,3,2
SIMTECH,EQ_WAFER_36,4,3
SIMTECH,EQ_WAFER_37,1,1
SIMTECH,EQ_WAFER_37,3,2
SIMTECH,EQ_WAFER_37,4,3
SIMTECH,EQ_WAFER_38,1,1
SIMTECH,EQ_WAFER_38,3,2
SIMTECH,EQ_WAFER_38,4,3
SIMTECH,EQ_WAFER_39,1,1
SIMTECH,EQ_WAFER_39,3,2
SIMTECH,EQ_WAFER_39,4,3
SIMTECH,EQ_WAFER_40,1,1
SIMTECH,EQ_WAFER_40,2,2
SIMTECH,EQ_WAFER_40,3,3
SIMTECH,EQ_WAFER_40,4,4
SIMTECH,EQ_WAFER_41,1,1
SIMTECH,EQ_WAFER_41,2,2
SIMTECH,EQ_WAFER_41,3,3
SIMTECH,EQ_WAFER_41,4,4
SIMTECH,EQ_LOT_106,A,1
SIMTECH,EQ_LOT_106,B,2
SIMTECH,EQ_LOT_106,C,3
SIMTECH,EQ_LOT_106,D,4
SIMTECH,EQ_LOT_106,E,5
SIMTECH,EQ_LOT_106,F,6
SIMTECH,EQ_WAFER_341,A,1
SIMTECH,EQ_WAFER_341,B,2
SIMTECH,EQ_WAFER_341,C,3
SIMTECH,EQ_WAFER_341,D,4
SIMTECH,EQ_WAFER_341,E,5
SIMTECH,EQ_WAFER_341,F,6
SIMTECH,EQ_LOT_107,A,1
SIMTECH,EQ_LOT_107,B,2
SIMTECH,EQ_LOT_107,C,3
SIMTECH,EQ_LOT_107,D,4
SIMTECH,EQ_LOT_107,E,5
SIMTECH,EQ_LOT_107,F,6
SIMTECH,EQ_WAFER_357,A,1
SIMTECH,EQ_WAFER_357,B,2
SIMTECH,EQ_WAFER_357,C,3
SIMTECH,EQ_WAFER_358,A,1
SIMTECH,EQ_WAFER_358,B,2
SIMTECH,EQ_WAFER_358,C,3
SIMTECH,EQ_WAFER_359,A,1
SIMTECH,EQ_WAFER_359,B,2
SIMTECH,EQ_WAFER_359,C,3
SIMTECH,EQ_WAFER_360,A,1
SIMTECH,EQ_WAFER_360,B,2
SIMTECH,EQ_WAFER_360,C,3
SIMTECH,EQ_WAFER_43,A,1
SIMTECH,EQ_WAFER_43,B,2
SIMTECH,EQ_WAFER_43,C,3
SIMTECH,EQ_WAFER_43,D,4
SIMTECH,EQ_WAFER_595,1,1
SIMTECH,EQ_WAFER_595,2,2
SIMTECH,EQ_WAFER_390,A,1
SIMTECH,EQ_WAFER_390,B,2
SIMTECH,EQ_WAFER_390,C,3
SIMTECH,EQ_WAFER_391,A,1
SIMTECH,EQ_WAFER_391,B,2
SIMTECH,EQ_WAFER_391,C,3
SIMTECH,EQ_WAFER_392,A,1
SIMTECH,EQ_WAFER_392,B,2
SIMTECH,EQ_WAFER_393,A,1
SIMTECH,EQ_WAFER_393,B,2
SIMTECH,EQ_WAFER_393,C,3
SIMTECH,EQ_WAFER_654,1,1
SIMTECH,EQ_WAFER_654,2,2
SIMTECH,EQ_WAFER_485,A,1
SIMTECH,EQ_WAFER_485,B,2
SIMTECH,EQ_WAFER_485,C,3
SIMTECH,EQ_WAFER_486,A,1
SIMTECH,EQ_WAFER_486,B,2
SIMTECH,EQ_WAFER_486,C,3
SIMTECH,EQ_WAFER_487,A,1
SIMTECH,EQ_WAFER_487,B,2
SIMTECH,EQ_WAFER_487,C,3
SIMTECH,EQ_WAFER_488,A,1
SIMTECH,EQ_WAFER_488,B,2
SIMTECH,EQ_WAFER_488,C,3
SIMTECH,EQ_WAFER_489,A,1
SIMTECH,EQ_WAFER_489,B,2
SIMTECH,EQ_WAFER_489,C,3
SIMTECH,EQ_WAFER_521,A,1
