EQPT_ID,OPERATING_MODE,CHAMBER_KEY,THP_FACTOR
EQ_LOT_141,*,111110000000000000,100
EQ_LOT_141,*,111100000000000000,100
EQ_LOT_141,*,111010000000000000,100
EQ_LOT_141,*,111000000000000000,100
EQ_LOT_141,*,110110000000000000,100
EQ_LOT_141,*,110100000000000000,100
EQ_LOT_141,*,110010000000000000,100
EQ_LOT_141,*,110000000000000000,100
EQ_LOT_141,*,101110000000000000,100
EQ_LOT_141,*,101100000000000000,100
EQ_LOT_141,*,101010000000000000,100
EQ_LOT_141,*,101000000000000000,100
EQ_LOT_141,*,100110000000000000,100
EQ_LOT_141,*,100100000000000000,100
EQ_LOT_141,*,100010000000000000,100
EQ_LOT_141,*,100000000000000000,100
EQ_LOT_141,*,11110000000000000,100
EQ_LOT_141,*,11100000000000000,100
EQ_LOT_141,*,11010000000000000,100
EQ_LOT_141,*,11000000000000000,100
EQ_LOT_141,*,10110000000000000,100
EQ_LOT_141,*,10100000000000000,100
EQ_LOT_141,*,10010000000000000,100
EQ_LOT_141,*,10000000000000000,100
EQ_LOT_141,*,1110000000000000,100
EQ_LOT_141,*,1100000000000000,100
EQ_LOT_141,*,1010000000000000,100
EQ_LOT_141,*,1000000000000000,100
EQ_LOT_141,*,110000000000000,100
EQ_LOT_141,*,100000000000000,100
EQ_LOT_141,*,10000000000000,100
EQ_WAFER_444,*,111110000000000000,100
EQ_WAFER_444,*,111100000000000000,100
EQ_WAFER_444,*,111010000000000000,100
EQ_WAFER_444,*,111000000000000000,100
EQ_WAFER_444,*,110110000000000000,100
EQ_WAFER_444,*,110100000000000000,100
EQ_WAFER_444,*,110010000000000000,100
EQ_WAFER_444,*,110000000000000000,100
EQ_WAFER_444,*,101110000000000000,100
EQ_WAFER_444,*,101100000000000000,100
EQ_WAFER_444,*,101010000000000000,100
EQ_WAFER_444,*,101000000000000000,100
EQ_WAFER_444,*,100110000000000000,100
EQ_WAFER_444,*,100100000000000000,100
EQ_WAFER_444,*,100010000000000000,100
EQ_WAFER_444,*,100000000000000000,100
EQ_WAFER_444,*,11110000000000000,100
EQ_WAFER_444,*,11100000000000000,100
EQ_WAFER_444,*,11010000000000000,100
EQ_WAFER_444,*,11000000000000000,100
EQ_WAFER_444,*,10110000000000000,100
EQ_WAFER_444,*,10100000000000000,100
EQ_WAFER_444,*,10010000000000000,100
EQ_WAFER_444,*,10000000000000000,100
EQ_WAFER_444,*,1110000000000000,100
EQ_WAFER_444,*,1100000000000000,100
EQ_WAFER_444,*,1010000000000000,100
EQ_WAFER_444,*,1000000000000000,100
EQ_WAFER_444,*,110000000000000,100
EQ_WAFER_444,*,100000000000000,100
EQ_WAFER_444,*,10000000000000,100
EQ_WAFER_443,*,111110000000000000,100
EQ_WAFER_443,*,111100000000000000,100
EQ_WAFER_443,*,111010000000000000,100
EQ_WAFER_443,*,111000000000000000,100
EQ_WAFER_443,*,110110000000000000,100
EQ_WAFER_443,*,110100000000000000,100
EQ_WAFER_443,*,110010000000000000,100
EQ_WAFER_443,*,110000000000000000,100
EQ_WAFER_443,*,101110000000000000,100
EQ_WAFER_443,*,101100000000000000,100
EQ_WAFER_443,*,101010000000000000,100
EQ_WAFER_443,*,101000000000000000,100
EQ_WAFER_443,*,100110000000000000,100
EQ_WAFER_443,*,100100000000000000,100
EQ_WAFER_443,*,100010000000000000,100
EQ_WAFER_443,*,100000000000000000,100
EQ_WAFER_443,*,11110000000000000,100
EQ_WAFER_443,*,11100000000000000,100
EQ_WAFER_443,*,11010000000000000,100
EQ_WAFER_443,*,11000000000000000,100
EQ_WAFER_443,*,10110000000000000,100
EQ_WAFER_443,*,10100000000000000,100
EQ_WAFER_443,*,10010000000000000,100
EQ_WAFER_443,*,10000000000000000,100
EQ_WAFER_443,*,1110000000000000,100
EQ_WAFER_443,*,1100000000000000,100
EQ_WAFER_443,*,1010000000000000,100
EQ_WAFER_443,*,1000000000000000,100
EQ_WAFER_443,*,110000000000000,100
EQ_WAFER_443,*,100000000000000,100
EQ_WAFER_443,*,10000000000000,100
EQ_WAFER_442,*,111110000000000000,100
EQ_WAFER_442,*,111100000000000000,100
EQ_WAFER_442,*,111010000000000000,100
EQ_WAFER_442,*,111000000000000000,100
EQ_WAFER_442,*,110110000000000000,100
EQ_WAFER_442,*,110100000000000000,100
EQ_WAFER_442,*,110010000000000000,100
EQ_WAFER_442,*,110000000000000000,100
EQ_WAFER_442,*,101110000000000000,100
EQ_WAFER_442,*,101100000000000000,100
EQ_WAFER_442,*,101010000000000000,100
EQ_WAFER_442,*,101000000000000000,100
EQ_WAFER_442,*,100110000000000000,100
EQ_WAFER_442,*,100100000000000000,100
EQ_WAFER_442,*,100010000000000000,100
EQ_WAFER_442,*,100000000000000000,100
EQ_WAFER_442,*,11110000000000000,100
EQ_WAFER_442,*,11100000000000000,100
EQ_WAFER_442,*,11010000000000000,100
EQ_WAFER_442,*,11000000000000000,100
EQ_WAFER_442,*,10110000000000000,100
EQ_WAFER_442,*,10100000000000000,100
EQ_WAFER_442,*,10010000000000000,100
EQ_WAFER_442,*,10000000000000000,100
EQ_WAFER_442,*,1110000000000000,100
EQ_WAFER_442,*,1100000000000000,100
EQ_WAFER_442,*,1010000000000000,100
EQ_WAFER_442,*,1000000000000000,100
EQ_WAFER_442,*,110000000000000,100
EQ_WAFER_442,*,100000000000000,100
EQ_WAFER_442,*,10000000000000,100
EQ_WAFER_405,*,111110000000000000,100
EQ_WAFER_405,*,111100000000000000,100
EQ_WAFER_405,*,111010000000000000,100
EQ_WAFER_405,*,111000000000000000,100
EQ_WAFER_405,*,110110000000000000,100
