FAB,EQPT_ID,LOCATION,CAPACITY,EQPT_GROUP_NAME,EQPT_TYPE,MAX_WAIT_MAX_BATCH_IN_MINS,MAX_WAIT_MIN_BATCH_IN_MINS,MIN_BATCH_SIZE,MAX_BATCH_SIZE,CONCURRENT_WAFERS,MODE_TYPE,LOAD_TIME,LOAD_TIME_DIST,UNLOAD_TIME,RESUME_PTIME,BATCH_WAIT_BY_EARLIEST_ARRIVAL,BATCH_SIZE_TYPE,BATCH_FORM_MARGIN,PREEMPTION
SIMTECH,EQ_WAFER_1,FAB,2,EG_WAFER_1,3,,,,,,1,0,,,1,,,,Y
SIMTECH,EQ_WAFER_26,FAB,2,EG_WAFER_3,3,,,,,,1,,,,1,,,,Y
SIMTECH,EQ_WAFER_27,FAB,12,EG_WAFER_4,3,,,,,,1,0,,,1,,,,Y
SIMTECH,EQ_WAFER_343,FAB,2,EG_WAFER_61,3,,,,,,1,8.4,,,1,,,,Y
SIMTECH,EQ_WAFER_473,FAB,3,EG_WAFER_87,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_474,FAB,3,EG_WAFER_87,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_132,FAB,3,EG_WAFER_20,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_BATCH_296,FAB,1,EG_BATCH_6,2,17,23,25,75,,1,0.4,,,1,Y,1,0.1,Y
SIMTECH,EQ_WAFER_356,FAB,2,EG_WAFER_63,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_BATCH_297,FAB,1,EG_BATCH_6,2,9,12,25,75,,1,0.4,,,1,Y,1,0.1,Y
SIMTECH,EQ_BATCH_335,FAB,1,EG_BATCH_12,2,24,32,100,225,,1,18,,,1,Y,1,0.1,Y
SIMTECH,EQ_LOT_32,FAB,1,EG_BATCH_12,2,,,,,,1,18,,,1,,,,Y
SIMTECH,EQ_WAFER_206,FAB,2,EG_WAFER_31,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_479,FAB,3,EG_WAFER_88,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_480,FAB,3,EG_WAFER_88,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_481,FAB,3,EG_WAFER_88,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_336,FAB,2,EG_WAFER_57,3,,,,,,1,18,,,1,,,,Y
SIMTECH,EQ_WAFER_334,FAB,1,EG_WAFER_56,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_335,FAB,2,EG_WAFER_56,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_634,FAB,2,EG_WAFER_104,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_635,FAB,2,EG_WAFER_104,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_205,FAB,1,EG_WAFER_30,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_388,FAB,2,EG_LOT_24,3,,,,,,1,1.2,,,1,,,,Y
SIMTECH,EQ_LOT_14,FAB,6,EG_LOT_7,2,,,,,,1,2,,,1,,,,Y
SIMTECH,EQ_LOT_15,FAB,6,EG_LOT_7,2,,,,,,1,2,,,1,,,,Y
SIMTECH,EQ_LOT_16,FAB,1,EG_LOT_7,2,,,,,,1,2,,,1,,,,Y
SIMTECH,EQ_LOT_28,FAB,6,EG_LOT_8,2,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_519,FAB,13,EG_WAFER_94,3,,,,,,1,0,,,1,,,,Y
SIMTECH,EQ_WAFER_520,FAB,13,EG_WAFER_94,3,,,,,,1,0,,,1,,,,Y
SIMTECH,EQ_BATCH_354,FAB,1,EG_BATCH_15,3,8,11,50,100,,1,0.4,,,1,Y,1,0.1,Y
SIMTECH,EQ_WAFER_117,FAB,10,EG_WAFER_17,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_118,FAB,10,EG_WAFER_17,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_366,FAB,10,EG_WAFER_65,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_367,FAB,15,EG_WAFER_65,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_543,FAB,3,EG_WAFER_96,3,,,,,,1,2.5,,,1,,,,Y
SIMTECH,EQ_WAFER_490,FAB,4,EG_WAFER_91,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_491,FAB,4,EG_WAFER_91,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_207,FAB,4,EG_WAFER_32,3,,,,,,1,10.94,,,1,,,,Y
SIMTECH,EQ_WAFER_208,FAB,6,EG_WAFER_32,3,,,,,,1,10.94,,,1,,,,Y
SIMTECH,EQ_WAFER_250,FAB,2,EG_WAFER_39,3,,,,,,1,0.4,,,1,,,,Y
SIMTECH,EQ_WAFER_180,FAB,16,EG_WAFER_26,3,,,,,,1,3,,,1,,,,Y
SIMTECH,EQ_WAFER_181,FAB,350,EG_WAFER_26,3,,,,,,1,3,,,1,,,,Y
SIMTECH,EQ_WAFER_182,FAB,350,EG_WAFER_26,3,,,,,,1,3,,,1,,,,Y
