EQPT_ID,OPERATING_MODE,CHAMBER_KEY,THP_FACTOR
EQ_LOT_141,*,111110000000000000,100
EQ_LOT_141,*,111100000000000000,100
EQ_LOT_141,*,111010000000000000,100
EQ_LOT_141,*,111000000000000000,100
EQ_LOT_141,*,110110000000000000,100
EQ_LOT_141,*,110100000000000000,100
EQ_LOT_141,*,110010000000000000,100
EQ_LOT_141,*,110000000000000000,100
EQ_LOT_141,*,101110000000000000,100
EQ_LOT_141,*,101100000000000000,100
EQ_LOT_141,*,101010000000000000,100
EQ_LOT_141,*,101000000000000000,100
EQ_LOT_141,*,100110000000000000,100
EQ_LOT_141,*,100100000000000000,100
EQ_LOT_141,*,100010000000000000,100
EQ_LOT_141,*,100000000000000000,100
EQ_LOT_141,*,011110000000000000,100
EQ_LOT_141,*,011100000000000000,100
EQ_LOT_141,*,011010000000000000,100
EQ_LOT_141,*,011000000000000000,100
EQ_LOT_141,*,010110000000000000,100
EQ_LOT_141,*,010100000000000000,100
EQ_LOT_141,*,010010000000000000,100
EQ_LOT_141,*,010000000000000000,100
EQ_LOT_141,*,001110000000000000,100
EQ_LOT_141,*,001100000000000000,100
EQ_LOT_141,*,001010000000000000,100
EQ_LOT_141,*,001000000000000000,100
EQ_LOT_141,*,000110000000000000,100
EQ_LOT_141,*,000100000000000000,100
EQ_LOT_141,*,000010000000000000,100
EQ_WAFER_444,*,111110000000000000,100
EQ_WAFER_444,*,111100000000000000,100
EQ_WAFER_444,*,111010000000000000,100
EQ_WAFER_444,*,111000000000000000,100
EQ_WAFER_444,*,110110000000000000,100
EQ_WAFER_444,*,110100000000000000,100
EQ_WAFER_444,*,110010000000000000,100
EQ_WAFER_444,*,110000000000000000,100
EQ_WAFER_444,*,101110000000000000,100
EQ_WAFER_444,*,101100000000000000,100
EQ_WAFER_444,*,101010000000000000,100
EQ_WAFER_444,*,101000000000000000,100
EQ_WAFER_444,*,100110000000000000,100
EQ_WAFER_444,*,100100000000000000,100
EQ_WAFER_444,*,100010000000000000,100
EQ_WAFER_444,*,100000000000000000,100
EQ_WAFER_444,*,011110000000000000,100
EQ_WAFER_444,*,011100000000000000,100
EQ_WAFER_444,*,011010000000000000,100
EQ_WAFER_444,*,011000000000000000,100
EQ_WAFER_444,*,010110000000000000,100
EQ_WAFER_444,*,010100000000000000,100
EQ_WAFER_444,*,010010000000000000,100
EQ_WAFER_444,*,010000000000000000,100
EQ_WAFER_444,*,001110000000000000,100
EQ_WAFER_444,*,001100000000000000,100
EQ_WAFER_444,*,001010000000000000,100
EQ_WAFER_444,*,001000000000000000,100
EQ_WAFER_444,*,000110000000000000,100
EQ_WAFER_444,*,000100000000000000,100
EQ_WAFER_444,*,000010000000000000,100
EQ_WAFER_443,*,111110000000000000,100
EQ_WAFER_443,*,111100000000000000,100
EQ_WAFER_443,*,111010000000000000,100
EQ_WAFER_443,*,111000000000000000,100
EQ_WAFER_443,*,110110000000000000,100
EQ_WAFER_443,*,110100000000000000,100
EQ_WAFER_443,*,110010000000000000,100
EQ_WAFER_443,*,110000000000000000,100
EQ_WAFER_443,*,101110000000000000,100
EQ_WAFER_443,*,101100000000000000,100
EQ_WAFER_443,*,101010000000000000,100
EQ_WAFER_443,*,101000000000000000,100
EQ_WAFER_443,*,100110000000000000,100
EQ_WAFER_443,*,100100000000000000,100
EQ_WAFER_443,*,100010000000000000,100
EQ_WAFER_443,*,100000000000000000,100
EQ_WAFER_443,*,011110000000000000,100
EQ_WAFER_443,*,011100000000000000,100
EQ_WAFER_443,*,011010000000000000,100
EQ_WAFER_443,*,011000000000000000,100
EQ_WAFER_443,*,010110000000000000,100
EQ_WAFER_443,*,010100000000000000,100
EQ_WAFER_443,*,010010000000000000,100
EQ_WAFER_443,*,010000000000000000,100
EQ_WAFER_443,*,001110000000000000,100
EQ_WAFER_443,*,001100000000000000,100
EQ_WAFER_443,*,001010000000000000,100
EQ_WAFER_443,*,001000000000000000,100
EQ_WAFER_443,*,000110000000000000,100
EQ_WAFER_443,*,000100000000000000,100
EQ_WAFER_443,*,000010000000000000,100
EQ_WAFER_442,*,111110000000000000,100
EQ_WAFER_442,*,111100000000000000,100
EQ_WAFER_442,*,111010000000000000,100
EQ_WAFER_442,*,111000000000000000,100
EQ_WAFER_442,*,110110000000000000,100
EQ_WAFER_442,*,110100000000000000,100
EQ_WAFER_442,*,110010000000000000,100
EQ_WAFER_442,*,110000000000000000,100
EQ_WAFER_442,*,101110000000000000,100
EQ_WAFER_442,*,101100000000000000,100
EQ_WAFER_442,*,101010000000000000,100
EQ_WAFER_442,*,101000000000000000,100
EQ_WAFER_442,*,100110000000000000,100
EQ_WAFER_442,*,100100000000000000,100
EQ_WAFER_442,*,100010000000000000,100
EQ_WAFER_442,*,100000000000000000,100
EQ_WAFER_442,*,011110000000000000,100
EQ_WAFER_442,*,011100000000000000,100
EQ_WAFER_442,*,011010000000000000,100
EQ_WAFER_442,*,011000000000000000,100
EQ_WAFER_442,*,010110000000000000,100
EQ_WAFER_442,*,010100000000000000,100
EQ_WAFER_442,*,010010000000000000,100
EQ_WAFER_442,*,010000000000000000,100
EQ_WAFER_442,*,001110000000000000,100
EQ_WAFER_442,*,001100000000000000,100
EQ_WAFER_442,*,001010000000000000,100
EQ_WAFER_442,*,001000000000000000,100
EQ_WAFER_442,*,000110000000000000,100
EQ_WAFER_442,*,000100000000000000,100
EQ_WAFER_442,*,000010000000000000,100
EQ_WAFER_405,*,111110000000000000,100
EQ_WAFER_405,*,111100000000000000,100
EQ_WAFER_405,*,111010000000000000,100
EQ_WAFER_405,*,111000000000000000,100
