EQPT_ID,POLICY,RANK
EQ_WAFER_1,PrioritizeQueueTimeConstraint,1
EQ_WAFER_26,PrioritizeQueueTimeConstraint,1
EQ_WAFER_27,PrioritizeQueueTimeConstraint,1
EQ_WAFER_343,PrioritizeQueueTimeConstraint,1
EQ_WAFER_473,PrioritizeQueueTimeConstraint,1
EQ_WAFER_474,PrioritizeQueueTimeConstraint,1
EQ_WAFER_132,PrioritizeQueueTimeConstraint,1
EQ_BATCH_296,PrioritizeQueueTimeConstraint,1
EQ_WAFER_356,PrioritizeQueueTimeConstraint,1
EQ_BATCH_297,PrioritizeQueueTimeConstraint,1
EQ_BATCH_335,PrioritizeQueueTimeConstraint,1
EQ_LOT_32,PrioritizeQueueTimeConstraint,1
EQ_WAFER_206,PrioritizeQueueTimeConstraint,1
EQ_WAFER_479,PrioritizeQueueTimeConstraint,1
EQ_WAFER_480,PrioritizeQueueTimeConstraint,1
EQ_WAFER_481,PrioritizeQueueTimeConstraint,1
EQ_WAFER_336,PrioritizeQueueTimeConstraint,1
EQ_WAFER_334,PrioritizeQueueTimeConstraint,1
EQ_WAFER_335,PrioritizeQueueTimeConstraint,1
EQ_WAFER_634,PrioritizeQueueTimeConstraint,1
EQ_WAFER_635,PrioritizeQueueTimeConstraint,1
EQ_WAFER_205,PrioritizeQueueTimeConstraint,1
EQ_WAFER_388,PrioritizeQueueTimeConstraint,1
EQ_LOT_14,PrioritizeQueueTimeConstraint,1
EQ_LOT_15,PrioritizeQueueTimeConstraint,1
EQ_LOT_16,PrioritizeQueueTimeConstraint,1
EQ_LOT_28,PrioritizeQueueTimeConstraint,1
EQ_WAFER_519,PrioritizeQueueTimeConstraint,1
EQ_WAFER_520,PrioritizeQueueTimeConstraint,1
EQ_BATCH_354,PrioritizeQueueTimeConstraint,1
EQ_WAFER_117,PrioritizeQueueTimeConstraint,1
EQ_WAFER_118,PrioritizeQueueTimeConstraint,1
EQ_WAFER_366,PrioritizeQueueTimeConstraint,1
EQ_WAFER_367,PrioritizeQueueTimeConstraint,1
EQ_WAFER_543,PrioritizeQueueTimeConstraint,1
EQ_WAFER_490,PrioritizeQueueTimeConstraint,1
EQ_WAFER_491,PrioritizeQueueTimeConstraint,1
EQ_WAFER_207,PrioritizeQueueTimeConstraint,1
EQ_WAFER_208,PrioritizeQueueTimeConstraint,1
EQ_WAFER_250,PrioritizeQueueTimeConstraint,1
EQ_WAFER_180,PrioritizeQueueTimeConstraint,1
EQ_WAFER_181,PrioritizeQueueTimeConstraint,1
EQ_WAFER_182,PrioritizeQueueTimeConstraint,1
EQ_BATCH_371,PrioritizeQueueTimeConstraint,1
EQ_BATCH_372,PrioritizeQueueTimeConstraint,1
EQ_LOT_134,PrioritizeQueueTimeConstraint,1
EQ_LOT_135,PrioritizeQueueTimeConstraint,1
EQ_WAFER_415,PrioritizeQueueTimeConstraint,1
EQ_WAFER_416,PrioritizeQueueTimeConstraint,1
EQ_BATCH_373,PrioritizeQueueTimeConstraint,1
EQ_LOT_136,PrioritizeQueueTimeConstraint,1
EQ_WAFER_103,PrioritizeQueueTimeConstraint,1
EQ_WAFER_104,PrioritizeQueueTimeConstraint,1
EQ_WAFER_105,PrioritizeQueueTimeConstraint,1
EQ_WAFER_106,PrioritizeQueueTimeConstraint,1
EQ_WAFER_107,PrioritizeQueueTimeConstraint,1
EQ_WAFER_108,PrioritizeQueueTimeConstraint,1
EQ_WAFER_109,PrioritizeQueueTimeConstraint,1
EQ_WAFER_110,PrioritizeQueueTimeConstraint,1
EQ_WAFER_111,PrioritizeQueueTimeConstraint,1
EQ_WAFER_112,PrioritizeQueueTimeConstraint,1
EQ_WAFER_373,PrioritizeQueueTimeConstraint,1
EQ_WAFER_374,PrioritizeQueueTimeConstraint,1
EQ_WAFER_375,PrioritizeQueueTimeConstraint,1
EQ_WAFER_241,PrioritizeQueueTimeConstraint,1
EQ_WAFER_242,PrioritizeQueueTimeConstraint,1
EQ_WAFER_243,PrioritizeQueueTimeConstraint,1
EQ_WAFER_244,PrioritizeQueueTimeConstraint,1
EQ_WAFER_245,PrioritizeQueueTimeConstraint,1
EQ_WAFER_672,PrioritizeQueueTimeConstraint,1
EQ_WAFER_673,PrioritizeQueueTimeConstraint,1
EQ_WAFER_42,PrioritizeQueueTimeConstraint,1
EQ_LOT_76,PrioritizeQueueTimeConstraint,1
EQ_LOT_77,PrioritizeQueueTimeConstraint,1
EQ_WAFER_640,PrioritizeQueueTimeConstraint,1
EQ_WAFER_641,PrioritizeQueueTimeConstraint,1
EQ_BATCH_4,PrioritizeQueueTimeConstraint,1
EQ_BATCH_5,PrioritizeQueueTimeConstraint,1
EQ_BATCH_126,PrioritizeQueueTimeConstraint,1
EQ_WAFER_636,PrioritizeQueueTimeConstraint,1
EQ_WAFER_637,PrioritizeQueueTimeConstraint,1
EQ_WAFER_398,PrioritizeQueueTimeConstraint,1
EQ_WAFER_399,PrioritizeQueueTimeConstraint,1
EQ_WAFER_350,PrioritizeQueueTimeConstraint,1
EQ_WAFER_344,PrioritizeQueueTimeConstraint,1
EQ_WAFER_417,PrioritizeQueueTimeConstraint,1
EQ_WAFER_418,PrioritizeQueueTimeConstraint,1
EQ_WAFER_433,PrioritizeQueueTimeConstraint,1
EQ_WAFER_434,PrioritizeQueueTimeConstraint,1
EQ_BATCH_374,PrioritizeQueueTimeConstraint,1
EQ_BATCH_375,PrioritizeQueueTimeConstraint,1
EQ_BATCH_355,PrioritizeQueueTimeConstraint,1
EQ_BATCH_356,PrioritizeQueueTimeConstraint,1
EQ_WAFER_258,PrioritizeQueueTimeConstraint,1
EQ_WAFER_259,PrioritizeQueueTimeConstraint,1
EQ_WAFER_247,PrioritizeQueueTimeConstraint,1
EQ_BATCH_339,PrioritizeQueueTimeConstraint,1
EQ_WAFER_246,PrioritizeQueueTimeConstraint,1
EQ_WAFER_183,PrioritizeQueueTimeConstraint,1
EQ_WAFER_184,PrioritizeQueueTimeConstraint,1
EQ_WAFER_185,PrioritizeQueueTimeConstraint,1
EQ_WAFER_186,PrioritizeQueueTimeConstraint,1
EQ_WAFER_446,PrioritizeQueueTimeConstraint,1
EQ_WAFER_447,PrioritizeQueueTimeConstraint,1
EQ_WAFER_448,PrioritizeQueueTimeConstraint,1
EQ_WAFER_449,PrioritizeQueueTimeConstraint,1
EQ_WAFER_450,PrioritizeQueueTimeConstraint,1
EQ_WAFER_298,PrioritizeQueueTimeConstraint,1
EQ_WAFER_306,PrioritizeQueueTimeConstraint,1
EQ_WAFER_307,PrioritizeQueueTimeConstraint,1
EQ_WAFER_308,PrioritizeQueueTimeConstraint,1
EQ_WAFER_596,PrioritizeQueueTimeConstraint,1
EQ_WAFER_597,PrioritizeQueueTimeConstraint,1
EQ_WAFER_598,PrioritizeQueueTimeConstraint,1
EQ_WAFER_599,PrioritizeQueueTimeConstraint,1
EQ_WAFER_260,PrioritizeQueueTimeConstraint,1
EQ_BATCH_6,PrioritizeQueueTimeConstraint,1
EQ_BATCH_7,PrioritizeQueueTimeConstraint,1
EQ_LOT_131,PrioritizeQueueTimeConstraint,1
EQ_WAFER_248,PrioritizeQueueTimeConstraint,1
EQ_WAFER_249,PrioritizeQueueTimeConstraint,1
EQ_WAFER_668,PrioritizeQueueTimeConstraint,1
EQ_LOT_17,PrioritizeQueueTimeConstraint,1
EQ_WAFER_287,PrioritizeQueueTimeConstraint,1
EQ_WAFER_133,PrioritizeQueueTimeConstraint,1
EQ_WAFER_475,PrioritizeQueueTimeConstraint,1
EQ_WAFER_476,PrioritizeQueueTimeConstraint,1
EQ_WAFER_477,PrioritizeQueueTimeConstraint,1
EQ_WAFER_478,PrioritizeQueueTimeConstraint,1
EQ_WAFER_482,PrioritizeQueueTimeConstraint,1
EQ_BATCH_2,PrioritizeQueueTimeConstraint,1
EQ_BATCH_3,PrioritizeQueueTimeConstraint,1
EQ_WAFER_669,PrioritizeQueueTimeConstraint,1
EQ_WAFER_670,PrioritizeQueueTimeConstraint,1
EQ_WAFER_671,PrioritizeQueueTimeConstraint,1
EQ_WAFER_394,PrioritizeQueueTimeConstraint,1
EQ_WAFER_395,PrioritizeQueueTimeConstraint,1
EQ_WAFER_579,PrioritizeQueueTimeConstraint,1
EQ_WAFER_580,PrioritizeQueueTimeConstraint,1
EQ_WAFER_581,PrioritizeQueueTimeConstraint,1
EQ_LOT_3,PrioritizeQueueTimeConstraint,1
EQ_LOT_4,PrioritizeQueueTimeConstraint,1
EQ_LOT_5,PrioritizeQueueTimeConstraint,1
EQ_WAFER_177,PrioritizeQueueTimeConstraint,1
EQ_WAFER_178,PrioritizeQueueTimeConstraint,1
EQ_WAFER_179,PrioritizeQueueTimeConstraint,1
EQ_LOT_44,PrioritizeQueueTimeConstraint,1
EQ_WAFER_389,PrioritizeQueueTimeConstraint,1
EQ_LOT_75,PrioritizeQueueTimeConstraint,1
EQ_LOT_27,PrioritizeQueueTimeConstraint,1
EQ_BATCH_364,PrioritizeQueueTimeConstraint,1
EQ_BATCH_365,PrioritizeQueueTimeConstraint,1
EQ_BATCH_366,PrioritizeQueueTimeConstraint,1
EQ_BATCH_367,PrioritizeQueueTimeConstraint,1
EQ_BATCH_368,PrioritizeQueueTimeConstraint,1
EQ_BATCH_336,PrioritizeQueueTimeConstraint,1
EQ_BATCH_337,PrioritizeQueueTimeConstraint,1
EQ_BATCH_338,PrioritizeQueueTimeConstraint,1
EQ_WAFER_383,PrioritizeQueueTimeConstraint,1
EQ_WAFER_384,PrioritizeQueueTimeConstraint,1
EQ_WAFER_385,PrioritizeQueueTimeConstraint,1
EQ_WAFER_386,PrioritizeQueueTimeConstraint,1
EQ_BATCH_1,PrioritizeQueueTimeConstraint,1
EQ_BATCH_127,PrioritizeQueueTimeConstraint,1
