EQPT_ID,START_DATE,END_DATE,EFFICIENCY
EQ_WAFER_447,22/8/2020 0:00:00,31/12/2020 0:00:00,1.5
EQ_LOT_5,22/8/2020 0:00:00,31/12/2020 0:00:00,1.5
EQ_BATCH_369,22/8/2020 0:00:00,,1.1
EQ_BATCH_370,22/8/2020 0:00:00,,1.1
EQ_LOT_147,3/9/2020 0:00:00,,1.1
EQ_LOT_148,1/9/2020 0:00:00,,1.1
EQ_BATCH_348,22/6/2020 0:00:00,,1.2
EQ_BATCH_350,22/6/2020 0:00:00,,1.2
EQ_BATCH_351,22/6/2020 0:00:00,,1.2
EQ_BATCH_352,22/6/2020 0:00:00,,1.2
EQ_BATCH_353,22/6/2020 0:00:00,,1.2
EQ_LOT_70,22/6/2020 0:00:00,,1.2
EQ_LOT_108,22/6/2020 0:00:00,,1.5
