FAB,EQPT_GROUP_NAME,EQPT_ID,CHAMBER,START_DATE,END_DATE
SIMTECH,EG_WAFER_1,EQ_WAFER_1,,,
SIMTECH,EG_WAFER_3,EQ_WAFER_26,,,
SIMTECH,EG_WAFER_4,EQ_WAFER_27,,,
SIMTECH,EG_WAFER_61,EQ_WAFER_343,,,
SIMTECH,EG_WAFER_87,EQ_WAFER_473,,,
SIMTECH,EG_WAFER_87,EQ_WAFER_474,,,
SIMTECH,EG_WAFER_20,EQ_WAFER_132,,,
SIMTECH,EG_BATCH_6,EQ_BATCH_296,,,
SIMTECH,EG_WAFER_63,EQ_WAFER_356,,,
SIMTECH,EG_BATCH_6,EQ_BATCH_297,,,
SIMTECH,EG_BATCH_12,EQ_BATCH_335,,,
SIMTECH,EG_BATCH_12,EQ_LOT_32,,,
SIMTECH,EG_WAFER_31,EQ_WAFER_206,,,
SIMTECH,EG_WAFER_88,EQ_WAFER_479,,,
SIMTECH,EG_WAFER_88,EQ_WAFER_480,,,
SIMTECH,EG_WAFER_88,EQ_WAFER_481,,,
SIMTECH,EG_WAFER_57,EQ_WAFER_336,,,
SIMTECH,EG_WAFER_56,EQ_WAFER_334,,,
SIMTECH,EG_WAFER_56,EQ_WAFER_335,,,
SIMTECH,EG_WAFER_104,EQ_WAFER_634,,,
SIMTECH,EG_WAFER_104,EQ_WAFER_635,,,
SIMTECH,EG_WAFER_30,EQ_WAFER_205,,,
SIMTECH,EG_LOT_24,EQ_WAFER_388,,,
SIMTECH,EG_LOT_7,EQ_LOT_14,,,
SIMTECH,EG_LOT_7,EQ_LOT_15,,,
SIMTECH,EG_LOT_7,EQ_LOT_16,,,
SIMTECH,EG_LOT_8,EQ_LOT_28,,,
SIMTECH,EG_WAFER_94,EQ_WAFER_519,,,
SIMTECH,EG_WAFER_94,EQ_WAFER_520,,,
SIMTECH,EG_BATCH_15,EQ_BATCH_354,,,
SIMTECH,EG_WAFER_17,EQ_WAFER_117,,,
SIMTECH,EG_WAFER_17,EQ_WAFER_118,,,
SIMTECH,EG_WAFER_65,EQ_WAFER_366,,,
SIMTECH,EG_WAFER_65,EQ_WAFER_367,,,
SIMTECH,EG_WAFER_96,EQ_WAFER_543,,,
SIMTECH,EG_WAFER_91,EQ_WAFER_490,,,
SIMTECH,EG_WAFER_91,EQ_WAFER_491,,,
SIMTECH,EG_WAFER_32,EQ_WAFER_207,,,
SIMTECH,EG_WAFER_32,EQ_WAFER_208,,,
SIMTECH,EG_WAFER_39,EQ_WAFER_250,,,
SIMTECH,EG_WAFER_26,EQ_WAFER_180,,,
SIMTECH,EG_WAFER_26,EQ_WAFER_181,,,
SIMTECH,EG_WAFER_26,EQ_WAFER_182,,,
SIMTECH,EG_BATCH_19,EQ_BATCH_371,,,
SIMTECH,EG_BATCH_20,EQ_BATCH_372,,,
SIMTECH,EG_LOT_30,EQ_LOT_134,,,
SIMTECH,EG_LOT_30,EQ_LOT_135,,,
SIMTECH,EG_WAFER_80,EQ_WAFER_415,,,
SIMTECH,EG_WAFER_80,EQ_WAFER_416,,,
SIMTECH,EG_BATCH_21,EQ_BATCH_373,,,
SIMTECH,EG_BATCH_21,EQ_LOT_136,,,
SIMTECH,EG_WAFER_15,EQ_WAFER_103,,,
SIMTECH,EG_WAFER_15,EQ_WAFER_104,,,
SIMTECH,EG_WAFER_15,EQ_WAFER_105,,,
SIMTECH,EG_WAFER_15,EQ_WAFER_106,,,
SIMTECH,EG_WAFER_15,EQ_WAFER_107,,,
SIMTECH,EG_WAFER_15,EQ_WAFER_108,,,
SIMTECH,EG_WAFER_15,EQ_WAFER_109,,,
SIMTECH,EG_WAFER_15,EQ_WAFER_110,,,
SIMTECH,EG_WAFER_15,EQ_WAFER_111,,,
SIMTECH,EG_WAFER_15,EQ_WAFER_112,,,
SIMTECH,EG_WAFER_67,EQ_WAFER_373,,,
SIMTECH,EG_WAFER_67,EQ_WAFER_374,,,
SIMTECH,EG_WAFER_67,EQ_WAFER_375,,,
SIMTECH,EG_WAFER_35,EQ_WAFER_241,,,
SIMTECH,EG_WAFER_35,EQ_WAFER_242,,,
SIMTECH,EG_WAFER_35,EQ_WAFER_243,,,
SIMTECH,EG_WAFER_35,EQ_WAFER_244,,,
SIMTECH,EG_WAFER_35,EQ_WAFER_245,,,
SIMTECH,EG_WAFER_113,EQ_WAFER_672,,,
SIMTECH,EG_WAFER_113,EQ_WAFER_673,,,
SIMTECH,EG_WAFER_6,EQ_WAFER_42,,,
SIMTECH,EG_LOT_21,EQ_LOT_76,,,
SIMTECH,EG_LOT_21,EQ_LOT_77,,,
SIMTECH,EG_WAFER_106,EQ_WAFER_640,,,
SIMTECH,EG_WAFER_106,EQ_WAFER_641,,,
SIMTECH,EG_BATCH_3,EQ_BATCH_4,,,
SIMTECH,EG_BATCH_3,EQ_BATCH_5,,,
SIMTECH,EG_BATCH_4,EQ_BATCH_126,,,
SIMTECH,EG_WAFER_104,EQ_WAFER_636,,,
SIMTECH,EG_WAFER_104,EQ_WAFER_637,,,
SIMTECH,EG_WAFER_74,EQ_WAFER_398,,,
SIMTECH,EG_WAFER_74,EQ_WAFER_399,,,
SIMTECH,EG_WAFER_62,EQ_WAFER_350,,,
SIMTECH,EG_WAFER_61,EQ_WAFER_344,,,
SIMTECH,EG_WAFER_80,EQ_WAFER_417,,,
SIMTECH,EG_WAFER_80,EQ_WAFER_418,,,
SIMTECH,EG_WAFER_81,EQ_WAFER_433,,,
SIMTECH,EG_WAFER_81,EQ_WAFER_434,,,
SIMTECH,EG_WAFER_82,EQ_BATCH_374,,,
SIMTECH,EG_WAFER_82,EQ_BATCH_375,,,
SIMTECH,EG_BATCH_16,EQ_BATCH_355,,,
SIMTECH,EG_BATCH_16,EQ_BATCH_356,,,
SIMTECH,EG_WAFER_43,EQ_WAFER_258,,,
SIMTECH,EG_WAFER_43,EQ_WAFER_259,,,
SIMTECH,EG_WAFER_37,EQ_WAFER_247,,,
SIMTECH,EG_BATCH_13,EQ_BATCH_339,,,
SIMTECH,EG_WAFER_36,EQ_WAFER_246,,,
SIMTECH,EG_WAFER_26,EQ_WAFER_183,,,
SIMTECH,EG_WAFER_26,EQ_WAFER_184,,,
SIMTECH,EG_WAFER_26,EQ_WAFER_185,,,
