FAB,EQPT_ID,EQPT_GROUP_NAME,RECIPE,PRODUCT,FULL_RAW_PROCESS_TIME_IN_MINS,HALF_RAW_PROCESS_TIME_IN_MINS,FULL_INTERVAL_IN_MINS,HALF_INTERVAL_IN_MINS,FULL_RAW_PROCESS_TIME_DIST,HALF_RAW_PROCESS_TIME_DIST,STAGE
SIMTECH,EQ_WAFER_1,,*,*,30,,15,,,,*
SIMTECH,EQ_WAFER_26,,*,*,30,,15,,,,*
SIMTECH,EQ_WAFER_27,,REC_WAFER_2,*,60,,5,,,,*
SIMTECH,EQ_WAFER_27,,*,*,60,,5,,,,*
SIMTECH,EQ_WAFER_343,,REC_WAFER_472,*,41.5,,41.5,,,,*
SIMTECH,EQ_WAFER_343,,REC_WAFER_480,*,35.75,,35.75,,,,*
SIMTECH,EQ_WAFER_343,,REC_WAFER_506,*,35.75,,35.75,,,,*
SIMTECH,EQ_WAFER_343,,REC_WAFER_513,*,40.75,,40.75,,,,*
SIMTECH,EQ_WAFER_343,,REC_WAFER_520,*,35.75,,35.75,,,,*
SIMTECH,EQ_WAFER_343,,REC_WAFER_527,*,49,,37,,,,*
SIMTECH,EQ_WAFER_343,,REC_WAFER_534,*,38.75,,38.75,,,,*
SIMTECH,EQ_WAFER_343,,*,*,38.75,,37.55,,,,*
SIMTECH,EQ_WAFER_473,,REC_WAFER_713,*,52,,31.25,,,,*
SIMTECH,EQ_WAFER_473,,REC_WAFER_30,*,67,,30,,,,*
SIMTECH,EQ_WAFER_473,,REC_WAFER_74,*,67,,23.25,,,,*
SIMTECH,EQ_WAFER_473,,*,*,64,,34.25,,,,*
SIMTECH,EQ_WAFER_474,,REC_WAFER_713,*,52,,35,,,,*
SIMTECH,EQ_WAFER_474,,REC_WAFER_30,*,67,,32,,,,*
SIMTECH,EQ_WAFER_474,,REC_WAFER_74,*,67,,27.75,,,,*
SIMTECH,EQ_WAFER_474,,REC_WAFER_190,*,85,,66.25,,,,*
SIMTECH,EQ_WAFER_474,,REC_WAFER_224,*,83,,50.25,,,,*
SIMTECH,EQ_WAFER_474,,REC_WAFER_257,*,52,,31.75,,,,*
SIMTECH,EQ_WAFER_474,,*,*,66,,41.91,,,,*
SIMTECH,EQ_WAFER_132,,REC_WAFER_890,*,62,,56.88,,,,*
SIMTECH,EQ_WAFER_132,,REC_WAFER_893,*,62,,23.63,,,,*
SIMTECH,EQ_WAFER_132,,*,*,62,,40.26,,,,*
SIMTECH,EQ_BATCH_296,,*,*,181.88,,181.88,,,,*
SIMTECH,EQ_WAFER_356,,*,*,62.5,,61.67,,,,*
SIMTECH,EQ_BATCH_297,,*,*,57.75,,57.75,,,,*
SIMTECH,EQ_BATCH_335,,REC_BATCH_177,*,209.25,,209.25,,,,*
SIMTECH,EQ_BATCH_335,,*,*,203.25,,203.25,,,,*
SIMTECH,EQ_LOT_32,,REC_BATCH_11,*,258,,258,,,,*
SIMTECH,EQ_LOT_32,,REC_BATCH_177,*,219,,219,,,,*
SIMTECH,EQ_LOT_32,,*,*,238.2,,238.2,,,,*
SIMTECH,EQ_WAFER_206,,*,*,79,,56,,,,*
SIMTECH,EQ_WAFER_479,,REC_WAFER_8,*,67,,28.75,,,,*
SIMTECH,EQ_WAFER_479,,REC_WAFER_575,*,67,,32.25,,,,*
SIMTECH,EQ_WAFER_479,,*,*,67,,30.6,,,,*
SIMTECH,EQ_WAFER_480,,REC_WAFER_8,*,67,,28.75,,,,*
SIMTECH,EQ_WAFER_480,,REC_WAFER_361,*,57,,29,,,,*
SIMTECH,EQ_WAFER_480,,REC_WAFER_487,*,47,,24.5,,,,*
SIMTECH,EQ_WAFER_480,,REC_WAFER_575,*,67,,32.25,,,,*
SIMTECH,EQ_WAFER_480,,REC_WAFER_257,*,53,,40.5,,,,*
SIMTECH,EQ_WAFER_480,,*,*,60.33,,30.36,,,,*
SIMTECH,EQ_WAFER_481,,REC_WAFER_8,*,67,,28.75,,,,*
SIMTECH,EQ_WAFER_481,,REC_WAFER_575,*,67,,32.25,,,,*
SIMTECH,EQ_WAFER_481,,*,*,64.33,,29.88,,,,*
SIMTECH,EQ_WAFER_336,,REC_WAFER_20,*,42,,25,,,,*
SIMTECH,EQ_WAFER_336,,REC_WAFER_370,*,42,,25,,,,*
SIMTECH,EQ_WAFER_336,,*,*,44.22,,24.03,,,,*
SIMTECH,EQ_WAFER_334,,*,*,116.38,,116.38,,,,*
SIMTECH,EQ_WAFER_335,,*,*,108.69,,105.06,,,,*
SIMTECH,EQ_WAFER_634,,*,*,129.6,,108.15,,,,*
SIMTECH,EQ_WAFER_635,,*,*,124.25,,100.19,,,,*
SIMTECH,EQ_WAFER_205,,*,*,12.5,,12.5,,,,*
SIMTECH,EQ_WAFER_388,,REC_LOT_223,*,47,,37.75,,,,*
SIMTECH,EQ_WAFER_388,,REC_LOT_356,*,37,,34.75,,,,*
SIMTECH,EQ_WAFER_388,,*,*,47.33,,37.75,,,,*
SIMTECH,EQ_LOT_14,,REC_LOT_121,*,13,,2.18,,,,*
SIMTECH,EQ_LOT_14,,REC_LOT_164,*,17.71,,16.24,,,,*
SIMTECH,EQ_LOT_14,,REC_LOT_61,*,5.5,,5.5,,,,*
SIMTECH,EQ_LOT_14,,REC_LOT_77,*,30,,30,,,,*
SIMTECH,EQ_LOT_14,,REC_LOT_84,*,8,,7.5,,,,*
SIMTECH,EQ_LOT_14,,REC_LOT_90,*,18.38,,18.25,,,,*
SIMTECH,EQ_LOT_14,,REC_LOT_95,*,18.38,,18.25,,,,*
SIMTECH,EQ_LOT_14,,REC_LOT_100,*,18.38,,18.25,,,,*
SIMTECH,EQ_LOT_14,,*,*,17.71,,16.24,,,,*
