WORK_CENTER,EQPT_ID
MET_13,EQ_WAFER_180
MET_13,EQ_WAFER_181
MET_13,EQ_WAFER_182
MET_13,EQ_WAFER_196
DEP_12,EQ_WAFER_366
DEP_12,EQ_WAFER_367
ETCH_1,EQ_WAFER_132
PROC_1,EQ_WAFER_336
PROC_1,EQ_LOT_6
PROC_1,EQ_WAFER_337
PROC_1,EQ_WAFER_338
PROC_9,EQ_WAFER_343
PROC_10,EQ_WAFER_207
PROC_10,EQ_WAFER_208
PHT_1,EQ_WAFER_473
PHT_1,EQ_WAFER_474
PHT_1,EQ_WAFER_543
PHT_1,EQ_WAFER_475
PHT_1,EQ_WAFER_476
PHT_1,EQ_WAFER_477
PHT_1,EQ_WAFER_584
PHT_12,EQ_WAFER_474
PHT_13,EQ_WAFER_479
PHT_13,EQ_WAFER_480
PHT_14,EQ_BATCH_335
PHT_14,EQ_LOT_32
PHT_15,EQ_BATCH_354
MET_25,EQ_LOT_28
MET_36,EQ_LOT_14
MET_36,EQ_LOT_15
MET_36,EQ_LOT_16
MET_36,EQ_LOT_17
MET_36,EQ_LOT_11
MET_36,EQ_LOT_19
MET_36,EQ_LOT_20
MET_36,EQ_LOT_21
MET_36,EQ_LOT_13
MET_36,EQ_LOT_25
MET_40,EQ_LOT_131
MET_40,EQ_WAFER_509
MET_41,EQ_WAFER_519
MET_41,EQ_WAFER_520
MET_41,EQ_LOT_6
MET_41,EQ_WAFER_523
MET_41,EQ_WAFER_499
MET_41,EQ_WAFER_525
MET_41,EQ_WAFER_505
MET_41,EQ_WAFER_528
MET_41,EQ_WAFER_529
MET_41,EQ_WAFER_509
MET_41,EQ_WAFER_530
MET_41,EQ_WAFER_531
MET_41,EQ_WAFER_532
MET_41,EQ_WAFER_533
WET_1,EQ_BATCH_371
WET_1,EQ_BATCH_2
WET_1,EQ_BATCH_3
WET_12,EQ_LOT_134
WET_12,EQ_LOT_135
WET_22,EQ_BATCH_372
WET_23,EQ_BATCH_373
WET_23,EQ_LOT_136
PROC_11,EQ_WAFER_350
PROC_11,EQ_LOT_6
PROC_11,EQ_WAFER_351
PROC_11,EQ_WAFER_352
PROC_11,EQ_WAFER_353
PROC_12,EQ_WAFER_344
PROC_12,EQ_WAFER_345
PROC_12,EQ_WAFER_346
PROC_12,EQ_WAFER_347
PROC_12,EQ_WAFER_348
PROC_12,EQ_WAFER_349
PROC_13,EQ_LOT_6
PROC_13,EQ_WAFER_209
PROC_13,EQ_WAFER_210
PROC_13,EQ_WAFER_211
PROC_13,EQ_WAFER_212
PROC_13,EQ_WAFER_213
PROC_13,EQ_WAFER_214
PROC_13,EQ_WAFER_215
PROC_13,EQ_WAFER_216
PROC_13,EQ_WAFER_217
PROC_13,EQ_WAFER_218
PROC_13,EQ_WAFER_219
PROC_13,EQ_WAFER_220
PROC_13,EQ_WAFER_221
WET_24,EQ_WAFER_415
WET_24,EQ_WAFER_416
CMP_3,EQ_LOT_6
CMP_1,EQ_WAFER_373
CMP_1,EQ_WAFER_374
CMP_1,EQ_WAFER_375
CMP_1,EQ_WAFER_42
CMP_1,EQ_WAFER_668
CMP_1,EQ_LOT_6
CMP_2,EQ_LOT_6
CMP_4,EQ_WAFER_672
CMP_4,EQ_WAFER_673
CMP_5,EQ_WAFER_241
CMP_5,EQ_WAFER_242
CMP_5,EQ_WAFER_243
CMP_5,EQ_WAFER_244
CMP_5,EQ_WAFER_245
CMP_5,EQ_LOT_6
ETCH_12,EQ_LOT_76
ETCH_18,EQ_LOT_77
ETCH_18,EQ_WAFER_325
OVN_1,EQ_BATCH_4
OVN_1,EQ_BATCH_5
OVN_1,EQ_BATCH_126
OVN_1,EQ_LOT_6
OVN_1,EQ_BATCH_20
OVN_1,EQ_BATCH_121
OVN_12,EQ_WAFER_640
OVN_12,EQ_WAFER_641
OVN_12,EQ_LOT_6
OVN_23,EQ_WAFER_398
OVN_23,EQ_WAFER_399
OVN_29,EQ_WAFER_636
OVN_29,EQ_WAFER_637
WET_25,EQ_WAFER_433
WET_25,EQ_WAFER_434
WET_26,EQ_BATCH_355
WET_26,EQ_BATCH_356
DEP_1,EQ_WAFER_247
DEP_1,EQ_WAFER_93
DEP_1,EQ_WAFER_98
DEP_11,EQ_WAFER_258
DEP_11,EQ_WAFER_259
ETCH_19,EQ_WAFER_446
ETCH_19,EQ_WAFER_447
ETCH_19,EQ_WAFER_448
ETCH_19,EQ_WAFER_449
ETCH_19,EQ_WAFER_450
ETCH_19,EQ_LOT_6
ETCH_20,EQ_WAFER_306
ETCH_20,EQ_WAFER_307
ETCH_20,EQ_WAFER_308
ETCH_21,EQ_WAFER_596
ETCH_21,EQ_WAFER_597
ETCH_21,EQ_WAFER_598
ETCH_21,EQ_WAFER_599
ETCH_21,EQ_LOT_6
OVN_30,EQ_BATCH_6
OVN_30,EQ_BATCH_7
OVN_30,EQ_BATCH_127
PHT_16,EQ_WAFER_475
PHT_16,EQ_WAFER_476
PHT_16,EQ_WAFER_477
PHT_16,EQ_WAFER_478
PHT_17,EQ_WAFER_482
PHT_18,EQ_BATCH_339
PHT_19,EQ_WAFER_260
PHT_19,EQ_LOT_6
MET_42,EQ_WAFER_248
MET_42,EQ_WAFER_249
MET_43,EQ_LOT_17
MET_44,EQ_WAFER_668
WET_27,EQ_BATCH_2
WET_27,EQ_BATCH_3
WET_27,EQ_LOT_6
WET_28,EQ_WAFER_669
WET_28,EQ_WAFER_670
WET_28,EQ_WAFER_671
DEP_14,EQ_LOT_6
DEP_14,EQ_WAFER_85
DEP_14,EQ_WAFER_69
DEP_14,EQ_WAFER_70
DEP_14,EQ_WAFER_71
DEP_14,EQ_WAFER_72
DEP_14,EQ_WAFER_73
DEP_14,EQ_WAFER_86
DEP_14,EQ_WAFER_76
DEP_14,EQ_WAFER_78
DEP_14,EQ_WAFER_81
DEP_14,EQ_WAFER_87
DEP_15,EQ_LOT_6
DEP_15,EQ_WAFER_69
DEP_15,EQ_WAFER_70
DEP_15,EQ_WAFER_71
DEP_15,EQ_WAFER_72
DEP_15,EQ_WAFER_73
DEP_15,EQ_WAFER_74
DEP_15,EQ_WAFER_75
DEP_15,EQ_WAFER_76
DEP_15,EQ_WAFER_77
DEP_15,EQ_WAFER_78
DEP_15,EQ_WAFER_80
DEP_15,EQ_WAFER_83
DEP_15,EQ_WAFER_84
DEP_16,EQ_LOT_6
DEP_16,EQ_WAFER_88
DEP_16,EQ_WAFER_89
DEP_16,EQ_WAFER_90
DEP_16,EQ_WAFER_91
DEP_17,EQ_WAFER_247
DEP_17,EQ_LOT_6
DEP_17,EQ_WAFER_92
DEP_17,EQ_WAFER_93
DEP_17,EQ_WAFER_94
DEP_17,EQ_WAFER_95
DEP_17,EQ_WAFER_96
DEP_17,EQ_WAFER_97
DEP_17,EQ_WAFER_98
DEP_17,EQ_WAFER_99
DEP_17,EQ_WAFER_100
DEP_17,EQ_WAFER_101
DEP_17,EQ_WAFER_102
DEP_17,EQ_WAFER_332
DEP_18,EQ_WAFER_103
DEP_18,EQ_WAFER_104
DEP_18,EQ_WAFER_105
DEP_18,EQ_WAFER_106
DEP_18,EQ_WAFER_107
DEP_18,EQ_WAFER_108
DEP_18,EQ_WAFER_109
DEP_18,EQ_WAFER_110
DEP_18,EQ_WAFER_111
DEP_18,EQ_WAFER_112
DEP_18,EQ_LOT_6
DEP_19,EQ_LOT_6
DEP_19,EQ_WAFER_113
DEP_19,EQ_WAFER_114
DEP_19,EQ_WAFER_115
DEP_19,EQ_WAFER_116
DEP_20,EQ_LOT_6
DEP_20,EQ_WAFER_368
DEP_20,EQ_WAFER_369
DEP_20,EQ_WAFER_370
DEP_20,EQ_WAFER_371
DEP_20,EQ_WAFER_372
DEP_2,EQ_WAFER_74
DEP_2,EQ_WAFER_75
DEP_2,EQ_WAFER_78
DEP_2,EQ_WAFER_81
DEP_13,EQ_LOT_6
DEP_13,EQ_WAFER_621
DEP_13,EQ_WAFER_622
DEP_13,EQ_WAFER_623
DEP_13,EQ_WAFER_624
DEP_13,EQ_WAFER_625
DEP_13,EQ_WAFER_626
DEP_13,EQ_WAFER_627
DEP_13,EQ_WAFER_628
DEP_13,EQ_WAFER_630
DEP_13,EQ_WAFER_631
DEP_13,EQ_WAFER_632
DEP_13,EQ_WAFER_633
DEP_3,EQ_WAFER_629
DEP_3,EQ_WAFER_633
DEP_6,EQ_WAFER_58
DEP_6,EQ_WAFER_61
DEP_6,EQ_WAFER_65
DEP_4,EQ_LOT_6
DEP_4,EQ_WAFER_62
DEP_4,EQ_WAFER_63
DEP_4,EQ_WAFER_65
DEP_4,EQ_WAFER_66
DEP_4,EQ_WAFER_67
DEP_4,EQ_WAFER_68
DEP_5,EQ_WAFER_58
DEP_5,EQ_WAFER_59
DEP_5,EQ_WAFER_60
DEP_5,EQ_WAFER_61
DEP_5,EQ_WAFER_62
DEP_5,EQ_WAFER_64
DEP_7,EQ_LOT_6
DEP_7,EQ_WAFER_58
DEP_7,EQ_WAFER_59
DEP_7,EQ_WAFER_60
DEP_7,EQ_WAFER_64
DEP_8,EQ_LOT_6
DEP_8,EQ_WAFER_601
DEP_8,EQ_WAFER_602
DEP_8,EQ_WAFER_603
DEP_8,EQ_WAFER_604
DEP_8,EQ_WAFER_605
DEP_8,EQ_WAFER_606
DEP_8,EQ_WAFER_607
DEP_8,EQ_WAFER_608
DEP_8,EQ_WAFER_609
DEP_8,EQ_WAFER_610
DEP_8,EQ_WAFER_612
DEP_8,EQ_WAFER_613
DEP_8,EQ_WAFER_614
DEP_8,EQ_WAFER_615
DEP_8,EQ_WAFER_616
DEP_8,EQ_WAFER_617
DEP_8,EQ_WAFER_618
DEP_9,EQ_LOT_6
DEP_9,EQ_WAFER_608
DEP_9,EQ_WAFER_611
DEP_9,EQ_WAFER_613
DEP_9,EQ_WAFER_615
DEP_9,EQ_WAFER_617
DEP_9,EQ_WAFER_618
DEP_10,EQ_LOT_6
DEP_10,EQ_WAFER_70
DEP_10,EQ_WAFER_79
DEP_10,EQ_WAFER_80
DEP_10,EQ_WAFER_82
DEP_10,EQ_WAFER_83
MET_3,EQ_WAFER_200
MET_3,EQ_WAFER_201
MET_3,EQ_WAFER_198
ECD_1,EQ_WAFER_247
ECD_1,EQ_WAFER_246
ECD_1,EQ_LOT_6
ECD_1,EQ_WAFER_57
ECD_2,EQ_WAFER_619
ECD_2,EQ_WAFER_620
OVN_31,EQ_BATCH_127
OVN_32,EQ_BATCH_340
OVN_32,EQ_BATCH_341
PROC_2,EQ_LOT_6
PROC_2,EQ_WAFER_383
PROC_2,EQ_WAFER_384
PROC_2,EQ_WAFER_385
PROC_2,EQ_WAFER_386
PROC_2,EQ_WAFER_271
PROC_2,EQ_WAFER_272
PROC_2,EQ_WAFER_376
PROC_2,EQ_WAFER_377
PROC_2,EQ_WAFER_274
PROC_2,EQ_WAFER_381
ECD_3,EQ_BATCH_364
ECD_3,EQ_BATCH_365
ECD_3,EQ_BATCH_366
ECD_3,EQ_BATCH_367
ECD_3,EQ_BATCH_368
ECD_3,EQ_BATCH_1
ECD_4,EQ_WAFER_579
ECD_4,EQ_WAFER_580
ECD_4,EQ_WAFER_581
PHT_2,EQ_LOT_6
PHT_2,EQ_WAFER_582
PHT_2,EQ_WAFER_583
PHT_2,EQ_WAFER_584
PHT_2,EQ_WAFER_585
PROC_3,EQ_BATCH_369
PROC_3,EQ_BATCH_370
ECD_5,EQ_BATCH_364
ECD_5,EQ_BATCH_365
ECD_5,EQ_BATCH_366
ECD_5,EQ_BATCH_367
ECD_5,EQ_BATCH_368
ECD_6,EQ_WAFER_177
ECD_6,EQ_WAFER_178
ECD_6,EQ_WAFER_179
PHT_3,EQ_WAFER_483
ECD_7,EQ_LOT_32
ECD_7,EQ_BATCH_336
ECD_7,EQ_BATCH_337
ECD_7,EQ_BATCH_338
MET_4,EQ_LOT_27
MET_5,EQ_LOT_52
MET_5,EQ_WAFER_297
PHT_4,EQ_LOT_6
PHT_4,EQ_LOT_3
PHT_4,EQ_LOT_4
PHT_4,EQ_LOT_5
MET_6,EQ_LOT_44
MET_6,EQ_LOT_45
MET_6,EQ_LOT_46
MET_6,EQ_WAFER_295
MET_6,EQ_WAFER_296
MET_6,EQ_WAFER_342
MET_7,EQ_LOT_75
MET_7,EQ_LOT_71
MET_7,EQ_LOT_72
MET_7,EQ_LOT_73
MET_7,EQ_LOT_74
MET_7,EQ_WAFER_333
MET_8,EQ_LOT_14
MET_8,EQ_LOT_15
MET_8,EQ_LOT_17
MET_8,EQ_LOT_11
MET_8,EQ_LOT_12
MET_9,EQ_WAFER_389
MET_9,EQ_LOT_127
MET_9,EQ_LOT_129
MET_10,EQ_WAFER_517
MET_10,EQ_WAFER_518
MET_10,EQ_WAFER_499
WET_2,EQ_WAFER_412
WET_3,EQ_LOT_6
WET_3,EQ_WAFER_410
WET_3,EQ_WAFER_411
WET_3,EQ_WAFER_413
WET_4,EQ_WAFER_414
WET_4,EQ_WAFER_445
ETCH_22,EQ_LOT_6
ETCH_22,EQ_WAFER_301
ETCH_22,EQ_WAFER_303
ETCH_2,EQ_LOT_6
ETCH_2,EQ_WAFER_28
ETCH_2,EQ_WAFER_29
ETCH_2,EQ_WAFER_30
ETCH_2,EQ_WAFER_31
ETCH_2,EQ_WAFER_32
ETCH_2,EQ_WAFER_33
ETCH_2,EQ_WAFER_34
ETCH_2,EQ_WAFER_35
ETCH_2,EQ_WAFER_36
ETCH_2,EQ_WAFER_37
ETCH_2,EQ_WAFER_38
ETCH_2,EQ_WAFER_39
ETCH_2,EQ_WAFER_40
ETCH_2,EQ_WAFER_41
ETCH_23,EQ_LOT_6
ETCH_23,EQ_WAFER_257
ETCH_23,EQ_WAFER_651
ETCH_23,EQ_WAFER_653
ETCH_23,EQ_WAFER_534
ETCH_23,EQ_WAFER_535
ETCH_23,EQ_WAFER_536
ETCH_23,EQ_WAFER_537
ETCH_23,EQ_WAFER_538
ETCH_23,EQ_WAFER_539
ETCH_23,EQ_WAFER_540
ETCH_23,EQ_WAFER_541
ETCH_23,EQ_WAFER_542
ETCH_24,EQ_LOT_6
ETCH_24,EQ_WAFER_651
ETCH_24,EQ_WAFER_652
ETCH_24,EQ_WAFER_653
ETCH_3,EQ_LOT_6
ETCH_3,EQ_WAFER_299
ETCH_3,EQ_WAFER_301
ETCH_3,EQ_WAFER_302
ETCH_3,EQ_WAFER_303
ETCH_3,EQ_WAFER_305
ETCH_5,EQ_LOT_6
ETCH_5,EQ_WAFER_330
ETCH_5,EQ_WAFER_331
ETCH_4,EQ_WAFER_306
ETCH_4,EQ_WAFER_307
ETCH_4,EQ_LOT_6
ETCH_4,EQ_WAFER_309
ETCH_4,EQ_WAFER_310
ETCH_4,EQ_WAFER_311
ETCH_4,EQ_WAFER_312
ETCH_4,EQ_WAFER_313
ETCH_4,EQ_WAFER_314
ETCH_4,EQ_WAFER_315
ETCH_4,EQ_WAFER_316
ETCH_4,EQ_WAFER_317
ETCH_4,EQ_WAFER_318
ETCH_4,EQ_WAFER_319
ETCH_4,EQ_WAFER_320
ETCH_4,EQ_WAFER_321
ETCH_4,EQ_WAFER_322
ETCH_4,EQ_WAFER_323
ETCH_4,EQ_WAFER_324
ETCH_4,EQ_WAFER_325
ETCH_4,EQ_WAFER_326
ETCH_4,EQ_WAFER_327
ETCH_4,EQ_WAFER_328
ETCH_4,EQ_WAFER_329
ETCH_6,EQ_LOT_6
ETCH_6,EQ_WAFER_44
ETCH_6,EQ_WAFER_45
ETCH_6,EQ_WAFER_46
ETCH_6,EQ_WAFER_47
ETCH_6,EQ_WAFER_48
ETCH_6,EQ_WAFER_49
ETCH_6,EQ_WAFER_50
ETCH_6,EQ_WAFER_51
ETCH_6,EQ_WAFER_52
ETCH_6,EQ_WAFER_53
ETCH_6,EQ_WAFER_54
ETCH_6,EQ_WAFER_55
ETCH_6,EQ_WAFER_56
ETCH_6,EQ_WAFER_43
ETCH_6,EQ_WAFER_506
ETCH_7,EQ_WAFER_306
ETCH_7,EQ_LOT_6
ETCH_7,EQ_WAFER_310
ETCH_7,EQ_WAFER_312
ETCH_7,EQ_WAFER_313
ETCH_7,EQ_WAFER_314
ETCH_7,EQ_WAFER_315
ETCH_7,EQ_WAFER_316
ETCH_7,EQ_WAFER_317
ETCH_7,EQ_WAFER_318
ETCH_7,EQ_WAFER_319
ETCH_7,EQ_WAFER_320
ETCH_7,EQ_WAFER_324
ETCH_7,EQ_WAFER_325
ETCH_7,EQ_WAFER_326
ETCH_7,EQ_WAFER_327
ETCH_7,EQ_WAFER_328
ETCH_7,EQ_WAFER_329
ETCH_8,EQ_WAFER_357
ETCH_8,EQ_WAFER_359
ETCH_8,EQ_WAFER_360
ETCH_8,EQ_WAFER_43
ETCH_9,EQ_LOT_6
ETCH_9,EQ_WAFER_299
ETCH_9,EQ_WAFER_300
ETCH_9,EQ_WAFER_302
ETCH_9,EQ_WAFER_304
ETCH_9,EQ_WAFER_653
ETCH_10,EQ_LOT_6
ETCH_10,EQ_WAFER_302
ETCH_10,EQ_WAFER_358
ETCH_10,EQ_WAFER_390
ETCH_10,EQ_WAFER_391
ETCH_10,EQ_WAFER_392
ETCH_10,EQ_WAFER_393
ETCH_11,EQ_LOT_6
ETCH_11,EQ_WAFER_357
ETCH_11,EQ_WAFER_359
ETCH_13,EQ_LOT_76
ETCH_13,EQ_LOT_6
ETCH_13,EQ_LOT_80
ETCH_13,EQ_LOT_81
ETCH_13,EQ_LOT_82
ETCH_13,EQ_LOT_83
ETCH_13,EQ_LOT_84
ETCH_13,EQ_LOT_85
ETCH_13,EQ_LOT_86
ETCH_13,EQ_LOT_88
ETCH_13,EQ_LOT_89
ETCH_13,EQ_LOT_91
ETCH_13,EQ_LOT_92
ETCH_13,EQ_LOT_93
