FAB,KANBAN_NAME,MAX_LOT,ROUTE,START_STEP,END_STEP
SIMTECH,KBN_2,18,ROUTE_08,OP_210,OP_211
SIMTECH,KBN_2,18,ROUTE_17,OP_103,OP_104
SIMTECH,KBN_2,18,ROUTE_18,OP_207,OP_208
SIMTECH,KBN_2,18,ROUTE_21,OP_174,OP_175
SIMTECH,KBN_2,18,ROUTE_22,OP_185,OP_186
SIMTECH,KBN_2,18,ROUTE_23,OP_178,OP_179
SIMTECH,KBN_2,18,ROUTE_26,OP_301,OP_302
SIMTECH,KBN_2,18,ROUTE_27,OP_300,OP_301
SIMTECH,KBN_3,4,ROUTE_16,OP_98,OP_99
SIMTECH,KBN_5,14,ROUTE_01,OP_39,OP_40
SIMTECH,KBN_5,14,ROUTE_02,OP_31,OP_32
SIMTECH,KBN_5,14,ROUTE_03,OP_31,OP_32
SIMTECH,KBN_5,14,ROUTE_04,OP_11,OP_12
SIMTECH,KBN_5,14,ROUTE_05,OP_11,OP_12
SIMTECH,KBN_5,14,ROUTE_06,OP_11,OP_12
SIMTECH,KBN_5,14,ROUTE_28,OP_35,OP_36
SIMTECH,KBN_5,14,ROUTE_31,OP_34,OP_35
SIMTECH,KBN_5,14,ROUTE_32,OP_11,OP_12
SIMTECH,KBN_5,14,ROUTE_33,OP_11,OP_12
SIMTECH,KBN_6,9,ROUTE_07,OP_30,OP_31
SIMTECH,KBN_6,9,ROUTE_08,OP_33,OP_34
SIMTECH,KBN_7,90,ROUTE_18,OP_16,OP_18
SIMTECH,KBN_7,90,ROUTE_18,OP_32,OP_34
SIMTECH,KBN_7,90,ROUTE_18,OP_52,OP_54
SIMTECH,KBN_7,90,ROUTE_18,OP_71,OP_73
SIMTECH,KBN_7,90,ROUTE_18,OP_88,OP_90
SIMTECH,KBN_7,90,ROUTE_19,OP_16,OP_18
SIMTECH,KBN_7,90,ROUTE_19,OP_35,OP_37
SIMTECH,KBN_7,90,ROUTE_19,OP_52,OP_54
SIMTECH,KBN_7,90,ROUTE_19,OP_71,OP_73
SIMTECH,KBN_7,90,ROUTE_19,OP_88,OP_90
SIMTECH,KBN_7,90,ROUTE_23,OP_8,OP_9
