FAB,ROUTE,STEP,SUB_STEP,ALTERNATIVE_NO,RATE_TO_ALTERNATIVE,EQPT_GROUP_NAME,RECIPE,SETUP,BATCH_SETUP,SAMPLING_RATE,SAMPLING_RATE_DIST,SAMPLING_SIZE,REWORK_RATE,REWORK_RATE_DIST,REWORK_ROUTE,REWORK_STEP,REWORK_RETURN_ROUTE,REWORK_RETURN_STEP,SPLIT_RATE,SPLIT_RATE_DIST,SPLIT_SIZE,MERGE_STEP,HOLD_RATE,HOLD_RATE_DIST,HOLD_DURATION,SCRAP_RATE,SCRAP_RATE_DIST,SCRAP_SIZE,STANDARD_LEAD_TIME,ODD,STAGE,MASK_LAYER,RTD_VAR,STATS_VAR_1,STATS_VAR_2,STATS_VAR_3,BRANCH_OPTION,BRANCH_GROUP,BRANCH_RATE,OPERATION_SEQ_NR,WORK_CENTER,OPTIONAL_STEP,NOT_VALID_OP,SPS_MAIN_FLAG
SIMTECH,ROUTE_14,OP_1,1,0,,EG_LOT_3,REC_LOT_1,REC_LOT_1,REC_LOT_1,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.3788,5371.200561,OP_1,0,0,ROUTE_14|PROC_8|1,,,,,,1,PROC_8,0,0,1
SIMTECH,ROUTE_14,OP_2,2,0,,EG_LOT_4,REC_LOT_121,REC_LOT_121,REC_LOT_121,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.00224,5371.200561,OP_2,0,0,ROUTE_14|MET_27|2,,,,,,2,MET_27,0,0,0
SIMTECH,ROUTE_14,OP_2,3,0,,EG_LOT_28,REC_LOT_232,REC_LOT_232,REC_LOT_232,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.60392,5371.200561,OP_2,0,0,ROUTE_14|MET_40|2,,,,,,2,MET_40,0,0,1
SIMTECH,ROUTE_14,OP_3,1,0,,EG_WAFER_26,REC_WAFER_264,REC_WAFER_264,REC_WAFER_264,0.51,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,6.70896,5097.599975,OP_3,0,0,ROUTE_14|MET_13|3,,,,,,3,MET_13,0,0,0
SIMTECH,ROUTE_14,OP_3,2,0,,EG_WAFER_65,REC_WAFER_97,REC_WAFER_97,REC_WAFER_97,0.51,1,,0.89,1,,,,,0,0,0,,0.0376,1,170.399994,0,0,0,4.66944,5097.599975,OP_3,0,0,ROUTE_14|DEP_12|3,,,,,,3,DEP_12,0,0,1
SIMTECH,ROUTE_14,OP_4,1,0,,EG_WAFER_87,REC_WAFER_713,REC_WAFER_713,REC_WAFER_713,0.1,1,,0.01,1,,,,,0.03,1,3,,0.069,1,136.800003,0,0,0,3.16824,4305.599975,OP_4,0,0,ROUTE_14|PHT_1|4,,,,,,4,PHT_1,0,0,1
SIMTECH,ROUTE_14,OP_5,1,0,,EG_WAFER_88,REC_WAFER_8,REC_WAFER_8,REC_WAFER_8,1,1,,0.17,1,,,,,0,0,0,,0.035,1,559.799988,0,0,0,2.604,4118.400268,OP_5,1,0,ROUTE_14|PHT_13|5,,,,,,5,PHT_13,0,0,1
SIMTECH,ROUTE_14,OP_6,1,0,,EG_WAFER_87,REC_WAFER_30,REC_WAFER_30,REC_WAFER_30,0.84,1,,0,0,,,,,0.01,1,2,OP_7,0.0167,1,34.799999,0,0,0,3.7752,3959.999878,OP_6,1,0,ROUTE_14|PHT_1|6,,,,,,6,PHT_1,0,0,1
SIMTECH,ROUTE_14,OP_7,1,0,,EG_LOT_7,REC_LOT_90,REC_LOT_90,REC_LOT_90,1,1,,0,0,,,,,0,0,0,,0.0426,1,102,0,0,0,1.19712,3729.599975,OP_7,1,0,ROUTE_14|MET_36|7,,,,,,7,MET_36,0,0,1
SIMTECH,ROUTE_14,OP_8,1,0,,EG_WAFER_26,REC_WAFER_166,REC_WAFER_166,REC_WAFER_166,1,1,,0,0,,,,,0,0,0,,0.0159,1,124.199997,0,0,0,0.41664,3657.599975,OP_8,1,0,ROUTE_14|MET_13|8,,,,,,8,MET_13,0,0,0
