FAB,RETICLE,PRODUCT,RECIPE,STEP
SIMTECH,RET_57,PRO_11,REC_WAFER_899,OP_55
SIMTECH,RET_58,PRO_11,REC_WAFER_899,OP_88
SIMTECH,RET_59,PRO_11,REC_WAFER_899,OP_73
SIMTECH,RET_60,PRO_11,REC_WAFER_899,OP_119
SIMTECH,RET_61,PRO_11,REC_WAFER_42,OP_160
SIMTECH,RET_62,PRO_11,REC_WAFER_899,OP_107
SIMTECH,RET_63,PRO_11,REC_WAFER_899,OP_37
SIMTECH,RET_64,PRO_11,REC_WAFER_896,OP_11
SIMTECH,RET_65,PRO_11,REC_WAFER_95,OP_144
SIMTECH,RET_66,PRO_11,REC_WAFER_361,OP_187
SIMTECH,RET_80,PRO_12,REC_WAFER_899,OP_54
SIMTECH,RET_81,PRO_12,REC_WAFER_899,OP_88
SIMTECH,RET_82,PRO_12,REC_WAFER_899,OP_73
SIMTECH,RET_83,PRO_12,REC_WAFER_899,OP_118
SIMTECH,RET_84,PRO_12,REC_WAFER_899,OP_130
SIMTECH,RET_85,PRO_12,REC_WAFER_42,OP_158
SIMTECH,RET_86,PRO_12,REC_WAFER_899,OP_106
SIMTECH,RET_87,PRO_12,REC_WAFER_899,OP_36
SIMTECH,RET_88,PRO_12,REC_WAFER_899,OP_23
SIMTECH,RET_89,PRO_12,REC_WAFER_896,OP_11
SIMTECH,RET_90,PRO_12,REC_WAFER_95,OP_142
SIMTECH,RET_91,PRO_12,REC_WAFER_361,OP_185
SIMTECH,RET_92,PRO_12,REC_WAFER_487,OP_175
SIMTECH,RET_1280,PRO_22,REC_WAFER_896,OP_8
SIMTECH,RET_1281,PRO_22,REC_WAFER_899,OP_33
SIMTECH,RET_1282,PRO_22,REC_WAFER_66,OP_57
SIMTECH,RET_1283,PRO_22,REC_WAFER_86,OP_72
SIMTECH,RET_1329,PRO_23,REC_WAFER_896,OP_8
SIMTECH,RET_1330,PRO_23,REC_WAFER_899,OP_31
SIMTECH,RET_1331,PRO_23,REC_WAFER_86,OP_71
SIMTECH,RET_1332,PRO_23,REC_WAFER_69,OP_70
SIMTECH,RET_1605,PRO_18,REC_WAFER_899,OP_105
SIMTECH,RET_1606,PRO_18,REC_WAFER_899,OP_163
SIMTECH,RET_1607,PRO_18,REC_WAFER_48,OP_179
