EQPT_ID,CHAMBER,START_TIME,SCHEDULED_START,LATEST_START,DURATION_IN_MINS,OP_GROUP,OP_DOWN_FRACTION,OP_DOWN_QTY,DOWN_TYPE,REMARK
EQ_WAFER_335,,18/9/2020 23:39:14,,,112.8,,,,SD,
EQ_BATCH_354,,18/9/2020 23:39:14,,,180,,,,SD,
EQ_WAFER_117,5,18/9/2020 23:39:14,,,97.2,,,,ENG,
EQ_WAFER_366,D,18/9/2020 23:39:14,,,165,,,,NST,
EQ_WAFER_366,,18/9/2020 23:39:14,,,165,,,,SD,
EQ_LOT_136,,18/9/2020 23:39:14,,,124.8,,,,SD,
EQ_WAFER_110,B,18/9/2020 23:39:14,,,70.2,,,,SD,
EQ_WAFER_111,B,18/9/2020 23:39:14,,,64.2,,,,SD,
EQ_WAFER_112,A,18/9/2020 23:39:14,,,30,,,,NST,
EQ_WAFER_112,B,18/9/2020 23:39:14,,,30,,,,NST,
EQ_WAFER_112,C,18/9/2020 23:39:14,,,30,,,,NST,
EQ_WAFER_242,L,18/9/2020 23:39:14,,,127.2,,,,SD,
EQ_WAFER_672,1,18/9/2020 23:39:14,,,30,,,,ENG,
EQ_WAFER_672,2,18/9/2020 23:39:14,,,30,,,,SD,
EQ_WAFER_398,,18/9/2020 23:39:14,,,165,,,,SD,
EQ_WAFER_350,,18/9/2020 23:39:14,,,37.2,,,,SD,
EQ_WAFER_418,,18/9/2020 23:39:14,,,288.6,,,,SD,
EQ_WAFER_247,A,18/9/2020 23:39:14,,,297,,,,NST,
EQ_WAFER_247,,18/9/2020 23:39:14,,,297,,,,SD,
EQ_WAFER_450,2,18/9/2020 23:39:14,,,30,,,,NST,
EQ_WAFER_450,3,18/9/2020 23:39:14,,,30,,,,NST,
EQ_WAFER_450,4,18/9/2020 23:39:14,,,30,,,,NST,
EQ_WAFER_450,5,18/9/2020 23:39:14,,,30,,,,NST,
EQ_WAFER_298,1,18/9/2020 23:39:14,,,26.4,,,,NST,
EQ_WAFER_308,,18/9/2020 23:39:14,,,131.4,,,,SD,
EQ_WAFER_597,,18/9/2020 23:39:14,,,201.6,,,,SD,
EQ_WAFER_581,,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_BATCH_364,,18/9/2020 23:39:14,,,448.8,,,,SD,
EQ_BATCH_338,,18/9/2020 23:39:14,,,262.8,,,,SD,
EQ_WAFER_385,,18/9/2020 23:39:14,,,343.8,,,,SD,
EQ_WAFER_386,,18/9/2020 23:39:14,,,213,,,,SD,
EQ_WAFER_57,C,18/9/2020 23:39:14,,,195.6,,,,NST,
EQ_BATCH_370,,18/9/2020 23:39:14,,,91.8,,,,SD,
EQ_WAFER_410,,18/9/2020 23:39:14,,,313.2,,,,SD,
EQ_WAFER_411,,18/9/2020 23:39:14,,,346.8,,,,SD,
EQ_WAFER_619,A,18/9/2020 23:39:14,,,162.6,,,,SD,
EQ_WAFER_583,,18/9/2020 23:39:14,,,64.8,,,,SD,
EQ_WAFER_584,,18/9/2020 23:39:14,,,97.8,,,,SD,
EQ_WAFER_445,3,18/9/2020 23:39:14,,,153,,,,NST,
EQ_WAFER_445,4,18/9/2020 23:39:14,,,153,,,,NST,
EQ_WAFER_85,A,18/9/2020 23:39:14,,,78,,,,UD,
EQ_WAFER_69,C,18/9/2020 23:39:14,,,119.4,,,,SD,
EQ_WAFER_69,,18/9/2020 23:39:14,,,119.4,,,,SD,
EQ_WAFER_71,A,18/9/2020 23:39:14,,,60.6,,,,SD,
EQ_WAFER_71,B,18/9/2020 23:39:14,,,60.6,,,,SD,
EQ_WAFER_71,C,18/9/2020 23:39:14,,,60.6,,,,SD,
EQ_WAFER_71,,18/9/2020 23:39:14,,,60.6,,,,SD,
EQ_WAFER_86,A,18/9/2020 23:39:14,,,151.2,,,,SD,
EQ_WAFER_86,B,18/9/2020 23:39:14,,,151.2,,,,UD,
EQ_WAFER_86,,18/9/2020 23:39:14,,,151.2,,,,SD,
EQ_WAFER_77,A,18/9/2020 23:39:14,,,127.2,,,,SD,
EQ_WAFER_77,C,18/9/2020 23:39:14,,,127.2,,,,SD,
EQ_WAFER_78,C,18/9/2020 23:39:14,,,62.4,,,,ENG,
EQ_WAFER_79,,18/9/2020 23:39:14,,,121.2,,,,SD,
EQ_WAFER_80,B,18/9/2020 23:39:14,,,145.8,,,,SD,
EQ_WAFER_81,A,18/9/2020 23:39:14,,,76.8,,,,UD,
EQ_WAFER_81,C,18/9/2020 23:39:14,,,76.8,,,,SD,
EQ_WAFER_82,A,18/9/2020 23:39:14,,,184.2,,,,SD,
EQ_WAFER_82,C,18/9/2020 23:39:14,,,184.2,,,,SD,
EQ_WAFER_82,,18/9/2020 23:39:14,,,184.2,,,,SD,
EQ_WAFER_83,A,18/9/2020 23:39:14,,,104.4,,,,SD,
EQ_WAFER_87,B,18/9/2020 23:39:14,,,97.8,,,,UD,
EQ_WAFER_87,C,18/9/2020 23:39:14,,,97.8,,,,UD,
EQ_WAFER_47,A,18/9/2020 23:39:14,,,340.8,,,,ENG,
EQ_WAFER_47,B,18/9/2020 23:39:14,,,340.8,,,,ENG,
EQ_WAFER_52,A,18/9/2020 23:39:14,,,39.6,,,,SD,
EQ_WAFER_53,A,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_53,A,18/9/2020 23:39:14,,,12480,,,,NST,
EQ_WAFER_53,C,18/9/2020 23:39:14,,,219.6,,,,SD,
EQ_WAFER_53,,18/9/2020 23:39:14,,,219.6,,,,SD,
EQ_WAFER_54,B,18/9/2020 23:39:14,,,43.2,,,,SD,
EQ_WAFER_271,1,18/9/2020 23:39:14,,,153,,,,UD,
EQ_WAFER_271,,18/9/2020 23:39:14,,,153,,,,SD,
EQ_WAFER_272,2,18/9/2020 23:39:14,,,97.8,,,,UD,
EQ_WAFER_273,,18/9/2020 23:39:14,,,93.6,,,,SD,
EQ_WAFER_376,,18/9/2020 23:39:14,,,166.8,,,,SD,
EQ_WAFER_300,2,18/9/2020 23:39:14,,,76.2,,,,SD,
EQ_WAFER_301,,18/9/2020 23:39:14,,,436.8,,,,SD,
EQ_WAFER_304,1,18/9/2020 23:39:14,,,96,,,,SD,
EQ_WAFER_305,3,18/9/2020 23:39:14,,,30,,,,NST,
EQ_WAFER_305,4,18/9/2020 23:39:14,,,30,,,,NST,
EQ_WAFER_305,,18/9/2020 23:39:14,,,180,,,,SD,
EQ_WAFER_652,2,18/9/2020 23:39:14,,,186,,,,SD,
EQ_WAFER_311,,18/9/2020 23:39:14,,,313.2,,,,SD,
EQ_WAFER_312,,18/9/2020 23:39:14,,,201.6,,,,SD,
EQ_WAFER_316,,18/9/2020 23:39:14,,,475.8,,,,SD,
