EQPT_ID,CHAMBER,START_TIME,END_TIME,MTTF_IN_MINS,MTTR_IN_MINS,MTTF_DIST,MTTR_DIST,OP_GROUP,OP_DOWN_FRACTION,OP_DOWN_QTY,DOWN_TYPE,REMARK
EQ_WAFER_1,,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_26,,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_27,,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_343,,18/9/2020 23:39:14,13/11/2020 23:39:14,4290,46.8,EQ_WAFER_343_UD_MTTF,EQ_WAFER_343_UD_MTTR,0,0,0,UD,
EQ_WAFER_343,,18/9/2020 23:39:14,13/11/2020 23:39:14,15345.6,423,EQ_WAFER_343_ENG_MTTF,EQ_WAFER_343_ENG_MTTR,0,0,0,ENG,
EQ_WAFER_473,,18/9/2020 23:39:14,13/11/2020 23:39:14,3629.4,196.8,EQ_WAFER_473_UD_MTTF,EQ_WAFER_473_UD_MTTR,0,0,0,UD,
EQ_WAFER_474,,18/9/2020 23:39:14,13/11/2020 23:39:14,6559.8,288,EQ_WAFER_474_UD_MTTF,EQ_WAFER_474_UD_MTTR,0,0,0,UD,
EQ_WAFER_132,A,18/9/2020 23:39:14,13/11/2020 23:39:14,33507,2123.4,EQ_WAFER_132_A_UD_MTTF,EQ_WAFER_132_A_UD_MTTR,0,0,0,UD,
EQ_WAFER_132,B,18/9/2020 23:39:14,13/11/2020 23:39:14,27915.6,1666.2,EQ_WAFER_132_B_UD_MTTF,EQ_WAFER_132_B_UD_MTTR,0,0,0,UD,
EQ_WAFER_132,,18/9/2020 23:39:14,13/11/2020 23:39:14,4902.6,280.8,EQ_WAFER_132_UD_MTTF,EQ_WAFER_132_UD_MTTR,0,0,0,UD,
EQ_WAFER_132,,18/9/2020 23:39:14,13/11/2020 23:39:14,51532.8,97.8,EQ_WAFER_132_ENG_MTTF,EQ_WAFER_132_ENG_MTTR,0,0,0,ENG,
EQ_BATCH_296,,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_BATCH_296_UD_MTTF,EQ_BATCH_296_UD_MTTR,0,0,0,UD,
EQ_WAFER_356,,18/9/2020 23:39:14,13/11/2020 23:39:14,67729.2,85.8,EQ_WAFER_356_UD_MTTF,EQ_WAFER_356_UD_MTTR,0,0,0,UD,
EQ_BATCH_297,,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_BATCH_297_UD_MTTF,EQ_BATCH_297_UD_MTTR,0,0,0,UD,
EQ_BATCH_335,,18/9/2020 23:39:14,13/11/2020 23:39:14,14514,173.4,EQ_BATCH_335_UD_MTTF,EQ_BATCH_335_UD_MTTR,0,0,0,UD,
EQ_LOT_32,,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_206,,18/9/2020 23:39:14,13/11/2020 23:39:14,36675.6,670.2,EQ_WAFER_206_UD_MTTF,EQ_WAFER_206_UD_MTTR,0,0,0,UD,
EQ_WAFER_479,,18/9/2020 23:39:14,13/11/2020 23:39:14,3942.6,196.2,EQ_WAFER_479_UD_MTTF,EQ_WAFER_479_UD_MTTR,0,0,0,UD,
EQ_WAFER_479,,18/9/2020 23:39:14,13/11/2020 23:39:14,10119,72,EQ_WAFER_479_ENG_MTTF,EQ_WAFER_479_ENG_MTTR,0,0,0,ENG,
EQ_WAFER_480,,18/9/2020 23:39:14,13/11/2020 23:39:14,9220.2,288.6,EQ_WAFER_480_ENG_MTTF,EQ_WAFER_480_ENG_MTTR,0,0,0,ENG,
EQ_WAFER_480,,18/9/2020 23:39:14,13/11/2020 23:39:14,20313,246,EQ_WAFER_480_UD_MTTF,EQ_WAFER_480_UD_MTTR,0,0,0,UD,
EQ_WAFER_481,,18/9/2020 23:39:14,13/11/2020 23:39:14,13162.8,81.6,EQ_WAFER_481_UD_MTTF,EQ_WAFER_481_UD_MTTR,0,0,0,UD,
EQ_WAFER_481,,18/9/2020 23:39:14,13/11/2020 23:39:14,30694.8,63.6,EQ_WAFER_481_ENG_MTTF,EQ_WAFER_481_ENG_MTTR,0,0,0,ENG,
EQ_WAFER_336,,18/9/2020 23:39:14,13/11/2020 23:39:14,15793.2,96,EQ_WAFER_336_UD_MTTF,EQ_WAFER_336_UD_MTTR,0,0,0,UD,
EQ_WAFER_334,,18/9/2020 23:39:14,13/11/2020 23:39:14,3131.4,147,EQ_WAFER_334_UD_MTTF,EQ_WAFER_334_UD_MTTR,0,0,0,UD,
EQ_WAFER_334,,18/9/2020 23:39:14,13/11/2020 23:39:14,14197.8,270,EQ_WAFER_334_ENG_MTTF,EQ_WAFER_334_ENG_MTTR,0,0,0,ENG,
EQ_WAFER_335,,18/9/2020 23:39:14,13/11/2020 23:39:14,2533.8,225.6,EQ_WAFER_335_UD_MTTF,EQ_WAFER_335_UD_MTTR,0,0,0,UD,
EQ_WAFER_335,,18/9/2020 23:39:14,13/11/2020 23:39:14,18511.2,556.2,EQ_WAFER_335_ENG_MTTF,EQ_WAFER_335_ENG_MTTR,0,0,0,ENG,
EQ_WAFER_634,,18/9/2020 23:39:14,13/11/2020 23:39:14,1353.6,181.8,EQ_WAFER_634_UD_MTTF,EQ_WAFER_634_UD_MTTR,0,0,0,UD,
EQ_WAFER_634,,18/9/2020 23:39:14,13/11/2020 23:39:14,20630.4,708,EQ_WAFER_634_ENG_MTTF,EQ_WAFER_634_ENG_MTTR,0,0,0,ENG,
EQ_WAFER_635,,18/9/2020 23:39:14,13/11/2020 23:39:14,1732.8,294,EQ_WAFER_635_UD_MTTF,EQ_WAFER_635_UD_MTTR,0,0,0,UD,
EQ_WAFER_635,,18/9/2020 23:39:14,13/11/2020 23:39:14,28924.8,106.8,EQ_WAFER_635_ENG_MTTF,EQ_WAFER_635_ENG_MTTR,0,0,0,ENG,
EQ_WAFER_205,,18/9/2020 23:39:14,13/11/2020 23:39:14,9047.4,140.4,EQ_WAFER_205_UD_MTTF,EQ_WAFER_205_UD_MTTR,0,0,0,UD,
EQ_WAFER_388,,18/9/2020 23:39:14,13/11/2020 23:39:14,39161.4,29.4,EQ_WAFER_388_ENG_MTTF,EQ_WAFER_388_ENG_MTTR,0,0,0,ENG,
EQ_WAFER_388,,18/9/2020 23:39:14,13/11/2020 23:39:14,40300.8,1103.4,EQ_WAFER_388_UD_MTTF,EQ_WAFER_388_UD_MTTR,0,0,0,UD,
EQ_LOT_14,,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_LOT_14_UD_MTTF,EQ_LOT_14_UD_MTTR,0,0,0,UD,
EQ_LOT_15,,18/9/2020 23:39:14,13/11/2020 23:39:14,28989.6,937.8,EQ_LOT_15_UD_MTTF,EQ_LOT_15_UD_MTTR,0,0,0,UD,
EQ_LOT_16,,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_LOT_16_UD_MTTF,EQ_LOT_16_UD_MTTR,0,0,0,UD,
EQ_LOT_28,,18/9/2020 23:39:14,13/11/2020 23:39:14,15025.2,480.6,EQ_LOT_28_ENG_MTTF,EQ_LOT_28_ENG_MTTR,0,0,0,ENG,
EQ_LOT_28,,18/9/2020 23:39:14,13/11/2020 23:39:14,16371.6,45.6,EQ_LOT_28_UD_MTTF,EQ_LOT_28_UD_MTTR,0,0,0,UD,
EQ_WAFER_519,A,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_519,B,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_519,C,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_519,D,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_519,,18/9/2020 23:39:14,13/11/2020 23:39:14,5099.4,42.6,EQ_WAFER_519_UD_MTTF,EQ_WAFER_519_UD_MTTR,0,0,0,UD,
EQ_WAFER_520,A,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_520,B,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_520,C,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_520,D,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_520,,18/9/2020 23:39:14,13/11/2020 23:39:14,15886.2,43.8,EQ_WAFER_520_UD_MTTF,EQ_WAFER_520_UD_MTTR,0,0,0,UD,
EQ_BATCH_354,,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_BATCH_354_UD_MTTF,EQ_BATCH_354_UD_MTTR,0,0,0,UD,
EQ_WAFER_117,1,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_WAFER_117_1_UD_MTTF,EQ_WAFER_117_1_UD_MTTR,0,0,0,UD,
EQ_WAFER_117,2,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_117,3,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_117,4,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_WAFER_117_4_UD_MTTF,EQ_WAFER_117_4_UD_MTTR,0,0,0,UD,
EQ_WAFER_117,5,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_WAFER_117_5_UD_MTTF,EQ_WAFER_117_5_UD_MTTR,0,0,0,UD,
EQ_WAFER_117,E,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_117,T,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_117,,18/9/2020 23:39:14,13/11/2020 23:39:14,1050,195,EQ_WAFER_117_UD_MTTF,EQ_WAFER_117_UD_MTTR,0,0,0,UD,
EQ_WAFER_117,,18/9/2020 23:39:14,13/11/2020 23:39:14,10339.2,299.4,EQ_WAFER_117_ENG_MTTF,EQ_WAFER_117_ENG_MTTR,0,0,0,ENG,
EQ_WAFER_118,1,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_118,2,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_118,3,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_WAFER_118_3_UD_MTTF,EQ_WAFER_118_3_UD_MTTR,0,0,0,UD,
EQ_WAFER_118,4,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_WAFER_118_4_UD_MTTF,EQ_WAFER_118_4_UD_MTTR,0,0,0,UD,
EQ_WAFER_118,5,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_WAFER_118_5_UD_MTTF,EQ_WAFER_118_5_UD_MTTR,0,0,0,UD,
EQ_WAFER_118,E,18/9/2020 23:39:14,13/11/2020 23:39:14,58414.2,198.6,EQ_WAFER_118_E_UD_MTTF,EQ_WAFER_118_E_UD_MTTR,0,0,0,UD,
EQ_WAFER_118,T,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_118,,18/9/2020 23:39:14,13/11/2020 23:39:14,877.8,168.6,EQ_WAFER_118_UD_MTTF,EQ_WAFER_118_UD_MTTR,0,0,0,UD,
EQ_WAFER_118,,18/9/2020 23:39:14,13/11/2020 23:39:14,10121.4,315,EQ_WAFER_118_ENG_MTTF,EQ_WAFER_118_ENG_MTTR,0,0,0,ENG,
EQ_WAFER_366,A,18/9/2020 23:39:14,13/11/2020 23:39:14,27078,865.8,EQ_WAFER_366_A_UD_MTTF,EQ_WAFER_366_A_UD_MTTR,0,0,0,UD,
EQ_WAFER_366,B,18/9/2020 23:39:14,13/11/2020 23:39:14,15991.8,1632,EQ_WAFER_366_B_UD_MTTF,EQ_WAFER_366_B_UD_MTTR,0,0,0,UD,
EQ_WAFER_366,C,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_WAFER_366_C_UD_MTTF,EQ_WAFER_366_C_UD_MTTR,0,0,0,UD,
EQ_WAFER_366,D,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_366,S,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_WAFER_366_S_UD_MTTF,EQ_WAFER_366_S_UD_MTTR,0,0,0,UD,
EQ_WAFER_366,,18/9/2020 23:39:14,13/11/2020 23:39:14,1350.6,329.4,EQ_WAFER_366_UD_MTTF,EQ_WAFER_366_UD_MTTR,0,0,0,UD,
EQ_WAFER_367,A,18/9/2020 23:39:14,13/11/2020 23:39:14,17131.2,1411.2,EQ_WAFER_367_A_UD_MTTF,EQ_WAFER_367_A_UD_MTTR,0,0,0,UD,
EQ_WAFER_367,B,18/9/2020 23:39:14,13/11/2020 23:39:14,17641.2,2065.8,EQ_WAFER_367_B_UD_MTTF,EQ_WAFER_367_B_UD_MTTR,0,0,0,UD,
EQ_WAFER_367,C,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_WAFER_367_C_UD_MTTF,EQ_WAFER_367_C_UD_MTTR,0,0,0,UD,
EQ_WAFER_367,D,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_WAFER_367_D_UD_MTTF,EQ_WAFER_367_D_UD_MTTR,0,0,0,UD,
EQ_WAFER_367,S,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_367,,18/9/2020 23:39:14,13/11/2020 23:39:14,2144.4,418.2,EQ_WAFER_367_UD_MTTF,EQ_WAFER_367_UD_MTTR,0,0,0,UD,
EQ_WAFER_543,,18/9/2020 23:39:14,13/11/2020 23:39:14,7491.6,114,EQ_WAFER_543_UD_MTTF,EQ_WAFER_543_UD_MTTR,0,0,0,UD,
EQ_WAFER_490,A,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_490,B,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_490,C,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_490,,18/9/2020 23:39:14,13/11/2020 23:39:14,26404.8,66,EQ_WAFER_490_UD_MTTF,EQ_WAFER_490_UD_MTTR,0,0,0,UD,
EQ_WAFER_491,A,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_491,B,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_491,C,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_491,,18/9/2020 23:39:14,13/11/2020 23:39:14,58939.2,73.8,EQ_WAFER_491_UD_MTTF,EQ_WAFER_491_UD_MTTR,0,0,0,UD,
EQ_WAFER_207,A,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_207,B,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_207,C,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_207,,18/9/2020 23:39:14,13/11/2020 23:39:14,16531.8,177,EQ_WAFER_207_UD_MTTF,EQ_WAFER_207_UD_MTTR,0,0,0,UD,
EQ_WAFER_208,A,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_208,B,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_208,C,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_208,,18/9/2020 23:39:14,13/11/2020 23:39:14,22083.6,64.8,EQ_WAFER_208_UD_MTTF,EQ_WAFER_208_UD_MTTR,0,0,0,UD,
EQ_WAFER_250,,18/9/2020 23:39:14,13/11/2020 23:39:14,17025.6,80.4,EQ_WAFER_250_UD_MTTF,EQ_WAFER_250_UD_MTTR,0,0,0,UD,
EQ_WAFER_180,,18/9/2020 23:39:14,13/11/2020 23:39:14,43929,55.2,EQ_WAFER_180_UD_MTTF,EQ_WAFER_180_UD_MTTR,0,0,0,UD,
EQ_WAFER_181,,18/9/2020 23:39:14,13/11/2020 23:39:14,23847.6,99.6,EQ_WAFER_181_UD_MTTF,EQ_WAFER_181_UD_MTTR,0,0,0,UD,
EQ_WAFER_182,,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_WAFER_182_UD_MTTF,EQ_WAFER_182_UD_MTTR,0,0,0,UD,
EQ_BATCH_371,,18/9/2020 23:39:14,13/11/2020 23:39:14,3455.4,161.4,EQ_BATCH_371_UD_MTTF,EQ_BATCH_371_UD_MTTR,0,0,0,UD,
EQ_BATCH_371,,18/9/2020 23:39:14,13/11/2020 23:39:14,42162.6,190.2,EQ_BATCH_371_ENG_MTTF,EQ_BATCH_371_ENG_MTTR,0,0,0,ENG,
EQ_BATCH_372,,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_BATCH_372_UD_MTTF,EQ_BATCH_372_UD_MTTR,0,0,0,UD,
EQ_LOT_134,,18/9/2020 23:39:14,13/11/2020 23:39:14,17348.4,457.2,EQ_LOT_134_UD_MTTF,EQ_LOT_134_UD_MTTR,0,0,0,UD,
EQ_LOT_134,,18/9/2020 23:39:14,13/11/2020 23:39:14,29359.8,335.4,EQ_LOT_134_ENG_MTTF,EQ_LOT_134_ENG_MTTR,0,0,0,ENG,
EQ_LOT_135,,18/9/2020 23:39:14,13/11/2020 23:39:14,14254.8,630.6,EQ_LOT_135_UD_MTTF,EQ_LOT_135_UD_MTTR,0,0,0,UD,
EQ_LOT_135,,18/9/2020 23:39:14,13/11/2020 23:39:14,45163.2,220.8,EQ_LOT_135_ENG_MTTF,EQ_LOT_135_ENG_MTTR,0,0,0,ENG,
EQ_WAFER_415,,5/9/2020 0:00:00,16/9/2020 0:00:00,324.4648,265.4712,2,EQ_WAFER_415_UD_MTTR,0,0,0,UD,
EQ_WAFER_416,,18/9/2020 23:39:14,13/11/2020 23:39:14,2237.4,645,EQ_WAFER_416_UD_MTTF,EQ_WAFER_416_UD_MTTR,0,0,0,UD,
EQ_WAFER_416,,18/9/2020 23:39:14,13/11/2020 23:39:14,12830.4,111.6,EQ_WAFER_416_ENG_MTTF,EQ_WAFER_416_ENG_MTTR,0,0,0,ENG,
EQ_BATCH_373,,18/9/2020 23:39:14,13/11/2020 23:39:14,19184.4,238.2,EQ_BATCH_373_UD_MTTF,EQ_BATCH_373_UD_MTTR,0,0,0,UD,
EQ_LOT_136,,18/9/2020 23:39:14,13/11/2020 23:39:14,10438.2,249.6,EQ_LOT_136_UD_MTTF,EQ_LOT_136_UD_MTTR,0,0,0,UD,
EQ_LOT_136,,18/9/2020 23:39:14,13/11/2020 23:39:14,42230.4,108.6,EQ_LOT_136_ENG_MTTF,EQ_LOT_136_ENG_MTTR,0,0,0,ENG,
EQ_WAFER_103,A,18/9/2020 23:39:14,13/11/2020 23:39:14,15256.8,1044.6,EQ_WAFER_103_A_UD_MTTF,EQ_WAFER_103_A_UD_MTTR,0,0,0,UD,
EQ_WAFER_103,B,18/9/2020 23:39:14,13/11/2020 23:39:14,13377.6,865.8,EQ_WAFER_103_B_UD_MTTF,EQ_WAFER_103_B_UD_MTTR,0,0,0,UD,
EQ_WAFER_103,C,18/9/2020 23:39:14,13/11/2020 23:39:14,10165.8,1278,EQ_WAFER_103_C_UD_MTTF,EQ_WAFER_103_C_UD_MTTR,0,0,0,UD,
EQ_WAFER_103,,18/9/2020 23:39:14,13/11/2020 23:39:14,1636.8,71.4,EQ_WAFER_103_UD_MTTF,EQ_WAFER_103_UD_MTTR,0,0,0,UD,
EQ_WAFER_103,,18/9/2020 23:39:14,13/11/2020 23:39:14,57929.4,865.2,EQ_WAFER_103_ENG_MTTF,EQ_WAFER_103_ENG_MTTR,0,0,0,ENG,
EQ_WAFER_104,A,18/9/2020 23:39:14,13/11/2020 23:39:14,22660.8,518.4,EQ_WAFER_104_A_UD_MTTF,EQ_WAFER_104_A_UD_MTTR,0,0,0,UD,
EQ_WAFER_104,B,18/9/2020 23:39:14,13/11/2020 23:39:14,22393.8,954.6,EQ_WAFER_104_B_UD_MTTF,EQ_WAFER_104_B_UD_MTTR,0,0,0,UD,
EQ_WAFER_104,C,18/9/2020 23:39:14,13/11/2020 23:39:14,18446.4,727.8,EQ_WAFER_104_C_UD_MTTF,EQ_WAFER_104_C_UD_MTTR,0,0,0,UD,
EQ_WAFER_104,,18/9/2020 23:39:14,13/11/2020 23:39:14,2787.6,111.6,EQ_WAFER_104_UD_MTTF,EQ_WAFER_104_UD_MTTR,0,0,0,UD,
EQ_WAFER_105,A,18/9/2020 23:39:14,13/11/2020 23:39:14,13077.6,1369.8,EQ_WAFER_105_A_UD_MTTF,EQ_WAFER_105_A_UD_MTTR,0,0,0,UD,
EQ_WAFER_105,B,18/9/2020 23:39:14,13/11/2020 23:39:14,18537,1058.4,EQ_WAFER_105_B_UD_MTTF,EQ_WAFER_105_B_UD_MTTR,0,0,0,UD,
EQ_WAFER_105,C,18/9/2020 23:39:14,13/11/2020 23:39:14,18183,1435.2,EQ_WAFER_105_C_UD_MTTF,EQ_WAFER_105_C_UD_MTTR,0,0,0,UD,
