EQPT_ID,RECIPE,REMARK
EQ_WAFER_27,REC_WAFER_2,
EQ_WAFER_343,REC_WAFER_527,
EQ_WAFER_343,REC_WAFER_534,
EQ_WAFER_473,REC_WAFER_713,
EQ_WAFER_473,REC_WAFER_30,
EQ_WAFER_473,REC_WAFER_74,
EQ_WAFER_474,REC_WAFER_713,
EQ_WAFER_474,REC_WAFER_30,
EQ_WAFER_474,REC_WAFER_74,
EQ_WAFER_474,REC_WAFER_190,
EQ_WAFER_474,REC_WAFER_224,
EQ_WAFER_474,REC_WAFER_257,
EQ_WAFER_132,REC_WAFER_890,
EQ_WAFER_132,REC_WAFER_893,
EQ_BATCH_335,REC_BATCH_177,
EQ_LOT_32,REC_BATCH_11,
EQ_LOT_32,REC_BATCH_177,
EQ_WAFER_479,REC_WAFER_8,
EQ_WAFER_479,REC_WAFER_575,
EQ_WAFER_480,REC_WAFER_8,
EQ_WAFER_480,REC_WAFER_575,
EQ_WAFER_336,REC_WAFER_20,
EQ_WAFER_336,REC_WAFER_370,
EQ_LOT_14,REC_LOT_121,
EQ_LOT_14,REC_LOT_164,
EQ_LOT_14,REC_LOT_77,
EQ_LOT_14,REC_LOT_84,
EQ_LOT_14,REC_LOT_90,
EQ_LOT_14,REC_LOT_95,
EQ_LOT_14,REC_LOT_100,
EQ_LOT_15,REC_LOT_121,
EQ_LOT_15,REC_LOT_61,
EQ_LOT_15,REC_LOT_77,
EQ_LOT_15,REC_LOT_84,
EQ_LOT_15,REC_LOT_90,
EQ_LOT_15,REC_LOT_95,
EQ_LOT_15,REC_LOT_100,
EQ_LOT_28,REC_LOT_39,
EQ_LOT_28,REC_LOT_47,
EQ_LOT_28,REC_LOT_48,
EQ_LOT_28,REC_LOT_49,
EQ_LOT_28,REC_LOT_50,
EQ_LOT_28,REC_LOT_51,
EQ_LOT_28,REC_LOT_52,
EQ_LOT_28,REC_LOT_53,
EQ_LOT_28,REC_LOT_54,
EQ_LOT_28,REC_LOT_55,
EQ_LOT_28,REC_LOT_56,
EQ_LOT_28,REC_LOT_63,
EQ_LOT_28,REC_LOT_64,
EQ_LOT_28,REC_LOT_65,
EQ_LOT_28,REC_LOT_66,
EQ_LOT_28,REC_LOT_67,
EQ_LOT_28,REC_LOT_68,
EQ_LOT_28,REC_LOT_69,
EQ_WAFER_519,REC_WAFER_623,
EQ_WAFER_519,REC_WAFER_629,
EQ_WAFER_519,REC_WAFER_635,
EQ_WAFER_519,REC_WAFER_641,
EQ_WAFER_519,REC_WAFER_647,
EQ_BATCH_354,REC_BATCH_208,
EQ_WAFER_366,REC_WAFER_94,
EQ_WAFER_366,REC_WAFER_97,
EQ_WAFER_366,REC_WAFER_100,
EQ_WAFER_367,REC_WAFER_94,
EQ_WAFER_367,REC_WAFER_97,
EQ_WAFER_367,REC_WAFER_100,
EQ_WAFER_367,REC_WAFER_103,
EQ_WAFER_207,REC_WAFER_342,
EQ_WAFER_207,REC_WAFER_402,
EQ_WAFER_207,REC_WAFER_432,
EQ_WAFER_208,REC_WAFER_342,
EQ_WAFER_208,REC_WAFER_402,
EQ_WAFER_250,REC_WAFER_491,
EQ_WAFER_181,REC_WAFER_84,
EQ_WAFER_181,REC_WAFER_128,
EQ_WAFER_181,REC_WAFER_166,
EQ_WAFER_181,REC_WAFER_200,
EQ_WAFER_181,REC_WAFER_233,
EQ_WAFER_181,REC_WAFER_346,
EQ_WAFER_182,REC_WAFER_376,
EQ_WAFER_182,REC_WAFER_40,
EQ_WAFER_182,REC_WAFER_264,
EQ_WAFER_182,REC_WAFER_294,
EQ_WAFER_182,REC_WAFER_324,
EQ_BATCH_371,REC_BATCH_8,
EQ_BATCH_371,REC_BATCH_174,
EQ_BATCH_372,REC_BATCH_214,
EQ_LOT_134,REC_LOT_19,
EQ_LOT_135,REC_LOT_19,
EQ_WAFER_415,REC_WAFER_126,
EQ_WAFER_415,REC_WAFER_164,
EQ_WAFER_416,REC_WAFER_126,
EQ_WAFER_416,REC_WAFER_164,
EQ_BATCH_373,REC_BATCH_242,
EQ_BATCH_373,REC_BATCH_269,
EQ_LOT_136,REC_BATCH_242,
EQ_LOT_136,REC_BATCH_269,
EQ_WAFER_103,REC_WAFER_285,
EQ_WAFER_103,REC_WAFER_315,
EQ_WAFER_103,REC_WAFER_337,
EQ_WAFER_103,REC_WAFER_377,
EQ_WAFER_103,REC_WAFER_468,
EQ_WAFER_103,REC_WAFER_476,
EQ_WAFER_103,REC_WAFER_502,
EQ_WAFER_103,REC_WAFER_509,
EQ_WAFER_104,REC_WAFER_285,
EQ_WAFER_104,REC_WAFER_315,
EQ_WAFER_104,REC_WAFER_397,
EQ_WAFER_104,REC_WAFER_417,
EQ_WAFER_104,REC_WAFER_427,
EQ_WAFER_104,REC_WAFER_436,
EQ_WAFER_105,REC_WAFER_285,
EQ_WAFER_105,REC_WAFER_315,
EQ_WAFER_105,REC_WAFER_337,
EQ_WAFER_105,REC_WAFER_377,
EQ_WAFER_105,REC_WAFER_397,
EQ_WAFER_105,REC_WAFER_444,
EQ_WAFER_105,REC_WAFER_530,
EQ_WAFER_106,REC_WAFER_444,
EQ_WAFER_106,REC_WAFER_452,
EQ_WAFER_106,REC_WAFER_460,
EQ_WAFER_107,REC_WAFER_417,
EQ_WAFER_107,REC_WAFER_427,
EQ_WAFER_107,REC_WAFER_436,
EQ_WAFER_107,REC_WAFER_444,
EQ_WAFER_107,REC_WAFER_452,
EQ_WAFER_108,REC_WAFER_444,
EQ_WAFER_108,REC_WAFER_468,
EQ_WAFER_108,REC_WAFER_476,
EQ_WAFER_108,REC_WAFER_523,
EQ_WAFER_109,REC_WAFER_285,
EQ_WAFER_109,REC_WAFER_315,
EQ_WAFER_109,REC_WAFER_337,
EQ_WAFER_109,REC_WAFER_377,
EQ_WAFER_109,REC_WAFER_397,
EQ_WAFER_109,REC_WAFER_516,
EQ_WAFER_110,REC_WAFER_444,
EQ_WAFER_110,REC_WAFER_460,
EQ_WAFER_110,REC_WAFER_516,
EQ_WAFER_111,REC_WAFER_285,
EQ_WAFER_111,REC_WAFER_315,
EQ_WAFER_111,REC_WAFER_377,
EQ_WAFER_112,REC_WAFER_444,
EQ_WAFER_373,REC_WAFER_433,
EQ_WAFER_373,REC_WAFER_441,
EQ_WAFER_373,REC_WAFER_449,
EQ_WAFER_373,REC_WAFER_457,
EQ_WAFER_373,REC_WAFER_465,
EQ_WAFER_373,REC_WAFER_473,
EQ_WAFER_373,REC_WAFER_481,
EQ_WAFER_373,REC_WAFER_507,
EQ_WAFER_373,REC_WAFER_514,
EQ_WAFER_373,REC_WAFER_521,
EQ_WAFER_373,REC_WAFER_528,
