EQPT_ID,POLICY,RANK
EQ_WAFER_1,PrioritizeQueueTimeConstraint,1
EQ_WAFER_1,PrioritizeRocketLot,5
EQ_WAFER_1,PrioritizeHotLot,6
EQ_WAFER_1,PrioritizeRework,9
EQ_WAFER_1,PrioritizeLongWait,10
EQ_WAFER_1,PrioritizeStepDue,12
EQ_WAFER_26,PrioritizeQueueTimeConstraint,1
EQ_WAFER_26,PrioritizeRocketLot,5
EQ_WAFER_26,PrioritizeHotLot,6
EQ_WAFER_26,PrioritizeRework,9
EQ_WAFER_26,PrioritizeLongWait,10
EQ_WAFER_26,PrioritizeStepDue,12
EQ_WAFER_27,PrioritizeQueueTimeConstraint,1
EQ_WAFER_27,PrioritizeRocketLot,5
EQ_WAFER_27,PrioritizeHotLot,6
EQ_WAFER_27,PrioritizeRework,9
EQ_WAFER_27,PrioritizeLongWait,10
EQ_WAFER_27,PrioritizeStepDue,12
EQ_WAFER_343,PrioritizeQueueTimeConstraint,1
EQ_WAFER_343,PrioritizeRocketLot,5
EQ_WAFER_343,PrioritizeHotLot,6
EQ_WAFER_343,PrioritizeRework,9
EQ_WAFER_343,PrioritizeLongWait,10
EQ_WAFER_343,PrioritizeStepDue,12
EQ_WAFER_473,PrioritizeQueueTimeConstraint,1
EQ_WAFER_473,PrioritizeRocketLot,5
EQ_WAFER_473,PrioritizeHotLot,6
EQ_WAFER_473,PrioritizeRework,9
EQ_WAFER_473,PrioritizeLongWait,10
EQ_WAFER_473,PrioritizeStepDue,12
EQ_WAFER_474,PrioritizeQueueTimeConstraint,1
EQ_WAFER_474,PrioritizeRocketLot,5
EQ_WAFER_474,PrioritizeHotLot,6
EQ_WAFER_474,PrioritizeRework,9
EQ_WAFER_474,PrioritizeLongWait,10
EQ_WAFER_474,PrioritizeStepDue,12
EQ_WAFER_132,PrioritizeQueueTimeConstraint,1
EQ_WAFER_132,PrioritizeRocketLot,5
EQ_WAFER_132,PrioritizeHotLot,6
EQ_WAFER_132,PrioritizeRework,9
EQ_WAFER_132,PrioritizeLongWait,10
EQ_WAFER_132,PrioritizeStepDue,12
EQ_BATCH_296,PrioritizeQueueTimeConstraint,1
EQ_BATCH_296,PrioritizeRocketLot,5
EQ_BATCH_296,PrioritizeHotLot,6
EQ_BATCH_296,PrioritizeRework,9
EQ_BATCH_296,PrioritizeLongWait,10
EQ_BATCH_296,PrioritizeStepDue,12
EQ_WAFER_356,PrioritizeQueueTimeConstraint,1
EQ_WAFER_356,PrioritizeRocketLot,5
EQ_WAFER_356,PrioritizeHotLot,6
EQ_WAFER_356,PrioritizeRework,9
EQ_WAFER_356,PrioritizeLongWait,10
EQ_WAFER_356,PrioritizeStepDue,12
EQ_BATCH_297,PrioritizeQueueTimeConstraint,1
EQ_BATCH_297,PrioritizeRocketLot,5
EQ_BATCH_297,PrioritizeHotLot,6
EQ_BATCH_297,PrioritizeRework,9
EQ_BATCH_297,PrioritizeLongWait,10
EQ_BATCH_297,PrioritizeStepDue,12
EQ_BATCH_335,PrioritizeQueueTimeConstraint,1
EQ_BATCH_335,PrioritizeRocketLot,5
EQ_BATCH_335,PrioritizeHotLot,6
EQ_BATCH_335,PrioritizeRework,9
EQ_BATCH_335,PrioritizeLongWait,10
EQ_LOT_32,PrioritizeQueueTimeConstraint,1
EQ_LOT_32,PrioritizeRocketLot,5
EQ_LOT_32,PrioritizeHotLot,6
EQ_LOT_32,PrioritizeRework,9
EQ_LOT_32,PrioritizeLongWait,10
EQ_LOT_32,PrioritizeStepDue,12
EQ_WAFER_206,PrioritizeQueueTimeConstraint,1
