FAB,TIME_WINDOW_NAME,TIME_CONSTRAINT,TRIGGER_TIME,PRIORITY,ROUTE,START_STEP,END_STEP,START_SUB_STEP,END_SUB_STEP
SIMTECH,TW_3,10,1,1,ROUTE_07,OP_4,OP_5,,
SIMTECH,TW_3,10,1,1,ROUTE_07,OP_33,OP_34,,
SIMTECH,TW_3,10,1,1,ROUTE_07,OP_44,OP_45,,
SIMTECH,TW_3,10,1,1,ROUTE_07,OP_62,OP_64,,
SIMTECH,TW_3,10,1,1,ROUTE_07,OP_95,OP_97,,
SIMTECH,TW_3,10,1,1,ROUTE_07,OP_163,OP_166,,
SIMTECH,TW_3,10,1,1,ROUTE_08,OP_4,OP_5,,
SIMTECH,TW_3,10,1,1,ROUTE_08,OP_36,OP_37,,
SIMTECH,TW_3,10,1,1,ROUTE_08,OP_48,OP_49,,
SIMTECH,TW_3,10,1,1,ROUTE_08,OP_74,OP_76,,
SIMTECH,TW_3,10,1,1,ROUTE_08,OP_108,OP_110,,
SIMTECH,TW_3,10,1,1,ROUTE_08,OP_146,OP_149,,
SIMTECH,TW_4,12,1,1,ROUTE_05,OP_147,OP_148,,
SIMTECH,TW_4,12,1,1,ROUTE_05,OP_157,OP_158,,
SIMTECH,TW_4,12,1,1,ROUTE_06,OP_144,OP_145,,
SIMTECH,TW_4,12,1,1,ROUTE_07,OP_123,OP_125,,
SIMTECH,TW_4,12,1,1,ROUTE_08,OP_136,OP_138,,
SIMTECH,TW_4,12,1,1,ROUTE_18,OP_176,OP_177,,
SIMTECH,TW_4,12,1,1,ROUTE_21,OP_104,OP_106,,
SIMTECH,TW_4,12,1,1,ROUTE_21,OP_127,OP_128,,
SIMTECH,TW_4,12,1,1,ROUTE_23,OP_8,OP_9,,
SIMTECH,TW_4,12,1,1,ROUTE_26,OP_208,OP_209,,
SIMTECH,TW_4,12,1,1,ROUTE_27,OP_207,OP_208,,
SIMTECH,TW_4,12,1,1,ROUTE_28,OP_328,OP_329,,
SIMTECH,TW_4,12,1,1,ROUTE_28,OP_354,OP_355,,
SIMTECH,TW_4,12,1,1,ROUTE_28,OP_402,OP_403,,
SIMTECH,TW_5,15,1,1,ROUTE_01,OP_295,OP_296,,
SIMTECH,TW_5,15,1,1,ROUTE_02,OP_269,OP_270,,
SIMTECH,TW_7,18,1,1,ROUTE_01,OP_294,OP_295,,
SIMTECH,TW_7,18,1,1,ROUTE_02,OP_268,OP_269,,
