FAB,LOT_ID,LOT_TYPE,PRODUCT,START_TIME,LOT_SIZE,DUE_DATE,PRIORITY
SIMTECH,LOT_PRO_14_1340,P,PRO_14,29/09/2020 10:54:00,25,02/10/2020 23:08:00,0
SIMTECH,LOT_PRO_14_1341,P,PRO_14,29/09/2020 10:54:00,25,02/10/2020 23:08:00,0
SIMTECH,LOT_PRO_14_1342,P,PRO_14,29/09/2020 10:54:00,25,02/10/2020 23:08:00,0
SIMTECH,LOT_PRO_14_1343,P,PRO_14,29/09/2020 10:54:00,25,02/10/2020 23:08:00,0
SIMTECH,LOT_PRO_14_5080,P,PRO_14,03/10/2020 10:43:00,25,07/10/2020 22:34:00,0
SIMTECH,LOT_PRO_14_5081,P,PRO_14,03/10/2020 10:43:00,25,07/10/2020 22:34:00,0
SIMTECH,LOT_PRO_14_5082,P,PRO_14,03/10/2020 10:43:00,25,07/10/2020 22:34:00,0
SIMTECH,LOT_PRO_14_5083,P,PRO_14,03/10/2020 10:43:00,25,07/10/2020 22:34:00,0
SIMTECH,LOT_PRO_14_5084,P,PRO_14,03/10/2020 10:43:00,25,07/10/2020 22:34:00,0
SIMTECH,LOT_PRO_14_5085,P,PRO_14,03/10/2020 10:43:00,25,07/10/2020 22:34:00,0
SIMTECH,LOT_PRO_14_6620,P,PRO_14,03/10/2020 16:35:00,25,08/10/2020 11:10:00,0
SIMTECH,LOT_PRO_14_6621,P,PRO_14,03/10/2020 16:35:00,25,08/10/2020 11:10:00,0
SIMTECH,LOT_PRO_14_6622,P,PRO_14,03/10/2020 16:35:00,25,08/10/2020 11:10:00,0
SIMTECH,LOT_PRO_14_6623,P,PRO_14,03/10/2020 16:35:00,25,08/10/2020 11:10:00,0
SIMTECH,LOT_PRO_14_6624,P,PRO_14,03/10/2020 16:35:00,25,08/10/2020 11:10:00,0
SIMTECH,LOT_PRO_14_6625,P,PRO_14,03/10/2020 16:35:00,25,08/10/2020 11:10:00,0
SIMTECH,LOT_PRO_14_5780,P,PRO_14,03/10/2020 19:09:00,25,08/10/2020 16:50:00,0
SIMTECH,LOT_PRO_14_5781,P,PRO_14,03/10/2020 19:09:00,25,08/10/2020 16:50:00,0
SIMTECH,LOT_PRO_14_5782,P,PRO_14,03/10/2020 19:09:00,25,08/10/2020 16:50:00,0
SIMTECH,LOT_PRO_14_5783,P,PRO_14,03/10/2020 19:09:00,25,08/10/2020 16:50:00,0
SIMTECH,LOT_PRO_14_5784,P,PRO_14,03/10/2020 19:09:00,25,08/10/2020 16:50:00,0
SIMTECH,LOT_PRO_14_6800,P,PRO_14,23/10/2020 22:12:00,25,27/10/2020 15:20:00,0
SIMTECH,LOT_PRO_14_6801,P,PRO_14,23/10/2020 22:12:00,25,27/10/2020 15:20:00,0
SIMTECH,LOT_PRO_14_4530,P,PRO_14,14/10/2020 18:26:00,25,18/10/2020 21:00:00,0
SIMTECH,LOT_PRO_14_4531,P,PRO_14,14/10/2020 18:26:00,25,18/10/2020 21:00:00,0
SIMTECH,LOT_PRO_14_4532,P,PRO_14,14/10/2020 18:26:00,25,18/10/2020 21:00:00,0
SIMTECH,LOT_PRO_14_4533,P,PRO_14,14/10/2020 18:26:00,25,18/10/2020 21:00:00,0
SIMTECH,LOT_PRO_14_4534,P,PRO_14,14/10/2020 18:26:00,25,18/10/2020 21:00:00,0
SIMTECH,LOT_PRO_14_4535,P,PRO_14,14/10/2020 18:26:00,25,18/10/2020 21:00:00,0
SIMTECH,LOT_PRO_14_4536,P,PRO_14,14/10/2020 18:26:00,25,18/10/2020 21:00:00,0
SIMTECH,LOT_PRO_14_4537,P,PRO_14,14/10/2020 18:26:00,25,18/10/2020 21:00:00,0
SIMTECH,LOT_PRO_14_5580,P,PRO_14,25/09/2020 22:56:00,25,29/09/2020 18:12:00,0
SIMTECH,LOT_PRO_14_5581,P,PRO_14,25/09/2020 22:56:00,25,29/09/2020 18:12:00,0
SIMTECH,LOT_PRO_14_9730,P,PRO_14,21/10/2020 08:46:00,25,27/10/2020 20:59:00,0
SIMTECH,LOT_PRO_14_9731,P,PRO_14,21/10/2020 08:46:00,25,27/10/2020 20:59:00,0
SIMTECH,LOT_PRO_14_9732,P,PRO_14,21/10/2020 08:46:00,25,27/10/2020 20:59:00,0
SIMTECH,LOT_PRO_14_9733,P,PRO_14,21/10/2020 08:46:00,25,27/10/2020 20:59:00,0
SIMTECH,LOT_PRO_14_9734,P,PRO_14,21/10/2020 08:46:00,25,27/10/2020 20:59:00,0
SIMTECH,LOT_PRO_14_9735,P,PRO_14,21/10/2020 08:46:00,25,27/10/2020 20:59:00,0
SIMTECH,LOT_PRO_14_4340,P,PRO_14,07/10/2020 10:42:00,25,13/10/2020 15:44:00,0
SIMTECH,LOT_PRO_14_4341,P,PRO_14,07/10/2020 10:42:00,25,13/10/2020 15:44:00,0
SIMTECH,LOT_PRO_14_4342,P,PRO_14,07/10/2020 10:42:00,25,13/10/2020 15:44:00,0
SIMTECH,LOT_PRO_14_4343,P,PRO_14,07/10/2020 10:42:00,25,13/10/2020 15:44:00,0
SIMTECH,LOT_PRO_14_4344,P,PRO_14,07/10/2020 10:42:00,25,13/10/2020 15:44:00,0
SIMTECH,LOT_PRO_14_7180,P,PRO_14,22/09/2020 13:40:00,25,28/09/2020 07:43:00,0
SIMTECH,LOT_PRO_14_7181,P,PRO_14,22/09/2020 13:40:00,25,28/09/2020 07:43:00,0
SIMTECH,LOT_PRO_14_7182,P,PRO_14,22/09/2020 13:40:00,25,28/09/2020 07:43:00,0
SIMTECH,LOT_PRO_14_7183,P,PRO_14,22/09/2020 13:40:00,25,28/09/2020 07:43:00,0
SIMTECH,LOT_PRO_14_9840,P,PRO_14,28/10/2020 22:12:00,25,02/11/2020 21:49:00,0
SIMTECH,LOT_PRO_14_9841,P,PRO_14,28/10/2020 22:12:00,25,02/11/2020 21:49:00,0
SIMTECH,LOT_PRO_14_9842,P,PRO_14,28/10/2020 22:12:00,25,02/11/2020 21:49:00,0
SIMTECH,LOT_PRO_14_9843,P,PRO_14,28/10/2020 22:12:00,25,02/11/2020 21:49:00,0
SIMTECH,LOT_PRO_14_2260,P,PRO_14,28/10/2020 21:57:00,25,31/10/2020 23:53:00,0
SIMTECH,LOT_PRO_14_2261,P,PRO_14,28/10/2020 21:57:00,25,31/10/2020 23:53:00,0
SIMTECH,LOT_PRO_14_2262,P,PRO_14,28/10/2020 21:57:00,25,31/10/2020 23:53:00,0
SIMTECH,LOT_PRO_14_2263,P,PRO_14,28/10/2020 21:57:00,25,31/10/2020 23:53:00,0
SIMTECH,LOT_PRO_14_2264,P,PRO_14,28/10/2020 21:57:00,25,31/10/2020 23:53:00,0
SIMTECH,LOT_PRO_14_2265,P,PRO_14,28/10/2020 21:57:00,25,31/10/2020 23:53:00,0
SIMTECH,LOT_PRO_14_6240,P,PRO_14,15/10/2020 05:47:00,25,18/10/2020 19:41:00,0
SIMTECH,LOT_PRO_14_6241,P,PRO_14,15/10/2020 05:47:00,25,18/10/2020 19:41:00,0
SIMTECH,LOT_PRO_14_6242,P,PRO_14,15/10/2020 05:47:00,25,18/10/2020 19:41:00,0
SIMTECH,LOT_PRO_14_6243,P,PRO_14,15/10/2020 05:47:00,25,18/10/2020 19:41:00,0
SIMTECH,LOT_PRO_14_5540,P,PRO_14,15/10/2020 14:59:00,25,18/10/2020 23:03:00,0
SIMTECH,LOT_PRO_14_5541,P,PRO_14,15/10/2020 14:59:00,25,18/10/2020 23:03:00,0
SIMTECH,LOT_PRO_14_5542,P,PRO_14,15/10/2020 14:59:00,25,18/10/2020 23:03:00,0
SIMTECH,LOT_PRO_14_5543,P,PRO_14,15/10/2020 14:59:00,25,18/10/2020 23:03:00,0
