FAB,LOT_ID,LOT_TYPE,PRODUCT,START_TIME,LOT_SIZE,DUE_DATE,PRIORITY
SIMTECH,LOT_2021110001,Y,PRO_14,02/11/2021 10:22:00,25,05/11/2021 12:00:00,0
SIMTECH,LOT_2021110035,Y,PRO_14,02/11/2021 10:22:00,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110036,Y,PRO_14,02/11/2021 10:22:00,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110037,Y,PRO_14,02/11/2021 10:22:00,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110038,Y,PRO_14,02/11/2021 10:22:00,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110039,Y,PRO_14,02/11/2021 10:22:00,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110040,Y,PRO_14,02/11/2021 10:22:00,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110041,Y,PRO_14,02/11/2021 10:22:00,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110042,Y,PRO_14,02/11/2021 10:22:00,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110043,Y,PRO_14,02/11/2021 10:22:00,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110044,Y,PRO_14,02/11/2021 10:22:00,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110045,Y,PRO_14,02/11/2021 10:22:00,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110002,Y,PRO_14,03/11/2021 08:50:12,25,05/11/2021 12:00:00,0
SIMTECH,LOT_2021110003,Y,PRO_14,05/11/2021 07:18:24,25,05/11/2021 12:00:00,0
SIMTECH,LOT_2021110004,Y,PRO_14,06/11/2021 05:46:36,25,05/11/2021 12:00:00,0
SIMTECH,LOT_2021110005,Y,PRO_14,08/11/2021 04:14:48,25,05/11/2021 12:00:00,0
SIMTECH,LOT_2021110006,Y,PRO_14,09/11/2021 02:43:00,25,05/11/2021 12:00:00,0
SIMTECH,LOT_2021110007,Y,PRO_14,11/11/2021 01:11:12,25,05/11/2021 12:00:00,0
SIMTECH,LOT_2021110008,Y,PRO_14,12/11/2021 11:39:24,25,05/11/2021 12:00:00,0
SIMTECH,LOT_2021110009,Y,PRO_14,13/11/2021 10:07:36,25,05/11/2021 12:00:00,0
SIMTECH,LOT_2021110010,Y,PRO_14,15/11/2021 08:35:48,25,05/11/2021 12:00:00,0
SIMTECH,LOT_2021110011,Y,PRO_14,16/11/2021 07:04:00,25,05/11/2021 12:00:00,0
SIMTECH,LOT_2021110012,Y,PRO_14,18/11/2021 05:32:12,25,05/11/2021 12:00:00,0
SIMTECH,LOT_2021110013,Y,PRO_14,19/11/2021 04:00:24,25,05/11/2021 12:00:00,0
SIMTECH,LOT_2021110014,Y,PRO_14,21/11/2021 02:28:36,25,05/11/2021 12:00:00,0
SIMTECH,LOT_2021110015,Y,PRO_14,22/11/2021 12:56:48,25,05/11/2021 12:00:00,0
SIMTECH,LOT_2021110016,Y,PRO_15,23/11/2021 11:25:00,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110017,Y,PRO_15,25/11/2021 02:45:09,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110018,Y,PRO_15,27/11/2021 06:05:19,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110019,Y,PRO_15,28/11/2021 09:25:29,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110020,Y,PRO_15,30/11/2021 12:45:38,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110021,Y,PRO_15,02/12/2021 04:05:48,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110022,Y,PRO_15,03/12/2021 07:25:57,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110023,Y,PRO_15,05/12/2021 10:46:07,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110024,Y,PRO_15,07/12/2021 02:06:17,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110025,Y,PRO_15,08/12/2021 05:26:26,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110026,Y,PRO_15,10/12/2021 08:46:36,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110027,Y,PRO_15,17/12/2021 03:57:06,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110028,Y,PRO_15,25/12/2021 09:57:49,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110029,Y,PRO_15,27/12/2021 01:17:58,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110031,Y,PRO_14,31/12/2021 12:46:03,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110030,Y,PRO_15,05/01/2022 04:51:02,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110032,Y,PRO_14,10/01/2022 01:17:51,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110033,Y,PRO_14,11/01/2022 11:46:03,25,06/11/2021 12:00:00,0
SIMTECH,LOT_2021110034,Y,PRO_14,12/01/2022 10:14:15,25,06/11/2021 12:00:00,0

