PeriodNumber,PeriodStartTime,PeriodEndTime,EquipmentGroup,StartedLots,StartedWafers,CompletedLots,CompletedWafers,ScrappedCount,ScrappedWafers,TotalCycleTime,AvgCycleTime,StdDevCycleTime,TotalQueueTime,AvgQueueTime,StdDevQueueTime,AvgProcTime,StdDevProcessTime,NoOperatorIdleTime,NoReticleIdleTime,AvgWIPLots,AvgWIPWafers,TotalEqptGroupProdTime,TotalProdTime,PROD(%),TotalSDTime,SD(%),TotalUDTime,UD(%),TotalEngrTime,ENGR(%),TotalIdleTime,IDLE(%),TotalSetupTime,TotalLoad/UnloadTime,AvgBatchSize,StdDevBatchSize,MaxBatchSize,NoOfBatchFormed,AvgTrainSize,MaxTrainSize,PartialCompleteLot,StartWIPLots,StartWIPWafers,EndWIPLots,EndWIPWafers,ArrivalLots,ArrivalWafers,EqptQty,Fab,VALID_STAT,TotalOperationTime,TotalAvailProdLossTime,AvgBatchEfficiency,TotalTravelTime,AvgTravelTime,TotalNSTime,NST(%),AvgIntervalTime,UTIL(%),StdDevEqptUtil,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,479.98,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,479.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11519.60,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,11519.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,479.98,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,479.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,479.98,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,479.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6719.77,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,6719.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,479.98,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,479.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,479.98,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,479.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6239.78,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,6239.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,479.98,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,479.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5279.82,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,5279.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_11,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7679.73,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,7679.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_12,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1439.95,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,1439.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_13,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1919.93,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,1919.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_14,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5279.82,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,5279.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4799.83,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,4799.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_16,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1919.93,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,1919.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_BATCH_1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,479.98,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,479.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_17,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,959.97,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,959.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_BATCH_2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,959.97,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,959.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_BATCH_3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58557.97,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,58557.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_18,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5759.80,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,5759.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_BATCH_4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12959.55,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,12959.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_19,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,479.98,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,479.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
