PeriodNumber,PeriodStartTime,PeriodEndTime,Fab,StartedLots,StartedWafers,CompletedLots,CompletedWafers,ScrappedLots,ScrappedWafers,AvgWIPLots,AvgWIPWafers,TotalCycleTime,AvgCycleTime,StdDevCycleTime,StartWIPLots,StartWIPWafers,EndWIPLots,EndWIPWafers,SplitWOMergeLots,StartedLayers,CompletedLayers,DynamicFlowFactor,DynamicCycleTime,DailyGoingRate,AvgWIPWafersHold,HoldCount,CompletedWaferLayers,CompletedStepWafers,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
1,23/01/2022 08:00:00,23/01/2022 16:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
2,23/01/2022 16:00:00,24/01/2022 00:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
3,24/01/2022 00:00:00,24/01/2022 08:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
4,24/01/2022 08:00:00,24/01/2022 16:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
5,24/01/2022 16:00:00,25/01/2022 00:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
6,25/01/2022 00:00:00,25/01/2022 08:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
7,25/01/2022 08:00:00,25/01/2022 16:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
8,25/01/2022 16:00:00,26/01/2022 00:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
9,26/01/2022 00:00:00,26/01/2022 08:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
10,26/01/2022 08:00:00,26/01/2022 16:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
11,26/01/2022 16:00:00,27/01/2022 00:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
12,27/01/2022 00:00:00,27/01/2022 08:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
13,27/01/2022 08:00:00,27/01/2022 16:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
14,27/01/2022 16:00:00,28/01/2022 00:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
15,28/01/2022 00:00:00,28/01/2022 08:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
16,28/01/2022 08:00:00,28/01/2022 16:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
17,28/01/2022 16:00:00,29/01/2022 00:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
18,29/01/2022 00:00:00,29/01/2022 08:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
19,29/01/2022 08:00:00,29/01/2022 16:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
20,29/01/2022 16:00:00,30/01/2022 00:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
