PeriodNumber,PeriodStartTime,PeriodEndTime,Fab,StartedLots,StartedWafers,CompletedLots,CompletedWafers,ScrappedLots,ScrappedWafers,AvgWIPLots,AvgWIPWafers,TotalCycleTime,AvgCycleTime,StdDevCycleTime,StartWIPLots,StartWIPWafers,EndWIPLots,EndWIPWafers,SplitWOMergeLots,StartedLayers,CompletedLayers,DynamicFlowFactor,DynamicCycleTime,DailyGoingRate,AvgWIPWafersHold,HoldCount,CompletedWaferLayers,CompletedStepWafers,
0,23/01/2022 00:00:01,23/01/2022 00:00:00,SIMTECH,0,0,0,0,0,0,-0.00,-0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,-0.00,0,0,0,
1,23/01/2022 00:00:00,24/01/2022 00:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
2,24/01/2022 00:00:00,25/01/2022 00:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
3,25/01/2022 00:00:00,26/01/2022 00:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
4,26/01/2022 00:00:00,27/01/2022 00:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
5,27/01/2022 00:00:00,28/01/2022 00:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
6,28/01/2022 00:00:00,29/01/2022 00:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
7,29/01/2022 00:00:00,30/01/2022 00:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
8,30/01/2022 00:00:00,31/01/2022 00:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
9,31/01/2022 00:00:00,01/02/2022 00:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
10,01/02/2022 00:00:00,02/02/2022 00:00:00,SIMTECH,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,
