FAB,LOT_ID,LOT_TYPE,PRODUCT,START_TIME,LOT_SIZE,DUE_DATE,PRIORITY
SIMTECH,LOT_2022010001,Y,PRO_14,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0
SIMTECH,LOT_2022010002,Y,PRO_14,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0
SIMTECH,LOT_2022010003,Y,PRO_14,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0
SIMTECH,LOT_2022010004,Y,PRO_14,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0
SIMTECH,LOT_2022010005,Y,PRO_14,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0
SIMTECH,LOT_2022010006,Y,PRO_14,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0
SIMTECH,LOT_2022010007,Y,PRO_14,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0
SIMTECH,LOT_2022010008,Y,PRO_14,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0
SIMTECH,LOT_2022010009,Y,PRO_14,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0
SIMTECH,LOT_2022010010,Y,PRO_14,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0
SIMTECH,LOT_2022010011,Y,PRO_14,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0
SIMTECH,LOT_2022010012,Y,PRO_14,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0
SIMTECH,LOT_2022010013,Y,PRO_15,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0
SIMTECH,LOT_2022010014,Y,PRO_15,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0
SIMTECH,LOT_2022010015,Y,PRO_15,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0
SIMTECH,LOT_2022010016,Y,PRO_15,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0
SIMTECH,LOT_2022010017,Y,PRO_15,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0
SIMTECH,LOT_2022010018,Y,PRO_15,15/01/2022 00:00:00,25,17/01/2022 00:00:00,0

