FAB,LOT_ID,LOT_TYPE,PRODUCT,START_TIME,LOT_SIZE,DUE_DATE,PRIORITY
SIMTECH,LOT_2022040001,Y,PRO_14,02/04/2022 02:39:12,625,06/04/2022 00:00:00,0
SIMTECH,LOT_2022040007,Y,PRO_14,02/04/2022 02:39:12,625,06/04/2022 00:00:00,0
SIMTECH,LOT_2022040004,Y,PRO_14,02/04/2022 02:39:12,625,06/04/2022 00:00:00,0
SIMTECH,LOT_2022040016,Y,PRO_15,02/04/2022 02:39:12,1025,06/04/2022 00:00:00,0
SIMTECH,LOT_2022040017,Y,PRO_15,02/04/2022 02:39:12,1025,06/04/2022 00:00:00,0
SIMTECH,LOT_2022040013,Y,PRO_15,02/04/2022 02:39:12,1025,06/04/2022 00:00:00,0
SIMTECH,LOT_2022040008,Y,PRO_14,02/04/2022 02:39:12,625,06/04/2022 00:00:00,0
SIMTECH,LOT_2022040018,Y,PRO_15,02/04/2022 02:39:12,1025,06/04/2022 00:00:00,0
SIMTECH,LOT_2022040005,Y,PRO_14,02/04/2022 02:39:12,625,06/04/2022 00:00:00,0
SIMTECH,LOT_2022040015,Y,PRO_15,02/04/2022 02:39:12,1025,06/04/2022 00:00:00,0
SIMTECH,LOT_2022040009,Y,PRO_14,02/04/2022 02:39:12,625,06/04/2022 00:00:00,0
SIMTECH,LOT_2022040006,Y,PRO_14,02/04/2022 02:39:12,625,06/04/2022 00:00:00,0
SIMTECH,LOT_2022040002,Y,PRO_14,02/04/2022 02:39:12,625,06/04/2022 00:00:00,0
SIMTECH,LOT_2022040014,Y,PRO_15,02/04/2022 02:39:12,1025,06/04/2022 00:00:00,0
SIMTECH,LOT_2022040010,Y,PRO_14,02/04/2022 02:39:12,625,06/04/2022 00:00:00,0
SIMTECH,LOT_2022040003,Y,PRO_14,02/04/2022 02:39:12,625,06/04/2022 00:00:00,0
SIMTECH,LOT_2022040011,Y,PRO_14,02/04/2022 02:39:12,625,06/04/2022 00:00:00,0
SIMTECH,LOT_2022040012,Y,PRO_14,02/04/2022 02:39:12,625,06/04/2022 00:00:00,0

